PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,video_id
0.067410685,0.22827926,0.0471521,0.076221645,0.018123107,0.027669076,0.15518156,0.043552764,WymrUvo0IJA
0.035401992,0.3410473,0.022945397,0.51902306,0.09641647,0.16909134,0.61501825,0.06871095,2mZul6JJZgs
0.022181818,0.22449206,0.03221605,0.027521428,0.014244818,0.011906899,0.17045261,0.011535629,NgcPEVPa8vo
0.044679355,0.18600258,0.22069082,0.14638835,0.16868164,0.24679811,0.2732847,0.08881804,4K5eCOfEDwg
0.45165154,0.5099476,0.1250247,0.4046711,0.13559511,0.23871309,0.60531163,0.19996691,5wK6tS6XRaM
0.047610585,0.30811763,0.16620636,0.11245523,0.043418974,0.07127124,0.6490751,0.042662278,5uaIKP3eLek
0.10262534,0.331939,0.018048171,0.55830413,0.17439106,0.14660312,0.11337526,0.15062875,6MNARIEwpo0
0.06277531,0.36237404,3.4436867e-05,0.23611754,0.085243866,0.07477487,0.10950853,0.07907897,85sPtIetu-4
0.121161744,0.40662235,0.14014533,0.49274915,0.29046294,0.38573256,0.26647434,0.1663847,1nbPWP3S1kw
0.1165605,0.32408786,0.06851897,0.31153247,0.27088207,0.33003438,0.37983128,0.16440728,0BnJ2xj0Gdk
0.04822884,0.3020052,0.10300289,0.09124983,0.07377294,0.050740805,0.25953078,0.03815936,gL9-bqIpn0A
0.044048037,0.22298114,0.09978092,0.19141456,0.10241667,0.11066366,0.30874783,0.06548737,uUQF1emFcOA
0.05417012,0.19687226,0.026894007,0.054190163,0.030635899,0.033433177,0.058607683,0.039274804,sBQ2gmEHFWs
0.032106616,0.23127727,0.08290337,0.040732194,0.067823276,0.13894506,0.21437074,0.025013803,i9dthmrJBns
