PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.11842911,0.037743654,0.030842619,0.10848529,0.085392885,0.12864801,0.20324393,0.42609495,iOsAgOzWjjU
0.021228781,0.025953306,0.03736641,0.024293816,0.03519354,0.046150282,0.13108264,0.20882973,S1p6isuWBg8
0.13687807,0.119180545,0.030670939,0.09841875,0.12247789,0.1611043,0.24566178,0.2360184,Lz3fcIvLSLY
0.5760488,0.0442867,0.10892494,0.24009974,0.22411065,0.12376503,0.27725792,0.35685113,W0YU5dHlPag
0.05015406,0.23476194,0.04818217,0.059845615,0.08333756,0.08945909,0.23026492,0.41275504,-_Hgk_pzOQk
0.6448887,0.046647295,0.25447917,0.2979475,0.3142318,0.18507151,0.43597746,0.37236333,KPGwwwN-lv4
0.66258967,0.010490435,0.07251463,0.30147684,0.3129374,0.20001209,0.6954438,0.5305026,3-crFdl1aQI
0.03880941,0.101928286,0.06372416,0.060566507,0.04771932,0.06961625,0.12915976,0.39400932,JRpd2AM-8ps
0.07925822,0.15831932,0.11021292,0.06429249,0.05830687,0.060726162,0.23042999,0.3976656,FZiLmhR2Ej0
0.05816144,0.027987432,0.08581903,0.05302979,0.091818616,0.19033433,0.18829627,0.5128144,6ayERPVdv7o
0.034242183,0.025144016,0.011314815,0.03869394,0.05395528,0.0735242,0.0704612,0.3455787,bZ68mCgUz3k
0.06839471,0.038020473,0.0753116,0.039454956,0.09893649,0.102365986,0.15109235,0.39797157,_6rPpNJ2nes
0.07272895,0.02870104,0.02792408,0.040113226,0.039294694,0.055694345,0.16771609,0.43012092,_qluAaCYLeI
0.58523935,0.23797345,0.019852988,0.209122,0.11805281,0.05242639,0.12004036,0.19776446,9IdjfjKe3MU
0.06347049,0.07691569,0.030842619,0.036052085,0.07162034,0.071278974,0.14889623,0.31183487,HWruQIY59-Y
0.099104725,0.22341745,0.089577995,0.13879153,0.08789869,0.053656753,0.12683865,0.25894558,tPPz0S73V8U
0.68225044,0.15477742,0.28021416,0.48808753,0.3108859,0.16025999,0.35826397,0.4597605,rC5rBxkOXPY
0.11941048,0.052728727,0.15334547,0.11717636,0.15095979,0.118372805,0.14697218,0.20894396,tWMFINrQxoM
0.051992394,0.13701344,0.09279997,0.058865394,0.050645836,0.058063872,0.10137019,0.37217477,A8BIESS-4qs
0.07637167,0.030354392,0.019297661,0.056963094,0.08403361,0.08403326,0.082250014,0.28649914,LPv8KZkZe30
0.12652768,0.060205758,0.034962907,0.12133267,0.13249698,0.10078665,0.14152995,0.24180247,9wuSClz8_RA
0.060922377,0.00921148,0.018187003,0.08308038,0.07622689,0.07784549,0.12925662,0.36823824,Nj8bRXG-RUI
0.003783115,0.013615923,0.009093502,0.0053943708,0.0075640944,0.033177055,0.024172185,0.30092508,jMYTqp6hj14
0.1009939,0.03932638,0.112788886,0.12417229,0.09242934,0.0878811,0.15759845,0.40261358,tqZEtALUsaw
0.47871256,0.17786403,0.09978092,0.21066724,0.19078325,0.18942088,0.26016933,0.6488827,dvKp4ZlJ9-Y
0.50057614,0.05813436,0.1943727,0.18967262,0.23037003,0.22422305,0.3139832,0.4054843,CrX2HT38BkM
0.037689768,0.030591983,0.038911518,0.061414927,0.108333066,0.0647798,0.060545076,0.41495505,pN5MtlitobA
0.16958663,0.016923012,0.0717155,0.15716459,0.1505077,0.10784158,0.28598118,0.29771855,GLHK7tp8qPI
0.048215464,0.040729567,0.022213135,0.04498388,0.056079745,0.06635996,0.08448392,0.3016618,6JjsjiRiylA
0.11171353,0.099639855,0.09978092,0.060846668,0.095599644,0.118452884,0.14127542,0.2995921,lBN0O2Wi2MY
0.13064615,0.24221401,0.032731086,0.061581336,0.05226004,0.05753062,0.10586949,0.33323476,2TWJDwYjWyY
0.051992394,0.13701344,0.09279997,0.058865394,0.050645836,0.058063872,0.10137019,0.37217477,ZDxapShgnGE
0.28306735,0.010868722,0.037023053,0.1559257,0.1736869,0.09053696,0.32212666,0.3717804,uhh8Z7Rttd0
0.08250087,0.062349055,0.1008549,0.058758005,0.07451444,0.06438876,0.43839425,0.39022118,zb3KXpVatB0
0.055400357,0.24418733,0.043375164,0.06338101,0.049504552,0.06577982,0.123915605,0.38112605,KhGImjRYGJU
0.075341605,0.035947405,0.022945397,0.046091132,0.11671871,0.12832232,0.2107332,0.28686798,ePL704RhBnk
0.052516457,0.006574723,0.05773066,0.041132577,0.045611493,0.051829536,0.07768424,0.21137948,Om65EHXRByc
0.113768294,0.037717007,0.036851373,0.05631898,0.07386453,0.08508547,0.19437443,0.36848882,O7SeiOhjr9s
0.12821741,0.008028298,0.028439116,0.07633616,0.07478643,0.070913866,0.20213175,0.44306695,qXYer40_TMM
0.34974426,0.07417418,0.031529333,0.13696261,0.10592267,0.07034906,0.280227,0.2605504,XQ-fIY3u7j0
0.10175982,0.022511294,0.086087525,0.07293738,0.10842877,0.11568419,0.32315844,0.2642743,HEM_TKKMWKU
