PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.10956893,0.032730103,0.07900251,0.18953809,0.017924026,0.044970322,0.14976022,0.14589474,DyULPswOtts
0.03049926,0.18430783,0.2408924,0.34240916,0.090093724,0.22781059,0.15359904,0.7682646,Pz7wQFxOaZI
0.015340946,0.019382302,0.02432685,0.26984024,0.028220193,0.018643644,0.25768426,0.1265713,3joupvREek8
0.13146462,0.09694288,0.24820583,0.30291054,0.069199055,0.15590625,0.41305825,0.6114401,g98hlyZbqlU
0.09816993,0.13954082,0.12363629,0.28947514,0.13308845,0.18366526,0.37387297,0.55540574,OR6cmJ-TSaY
0.1580154,0.22591056,0.5058911,0.4783265,0.070583984,0.67271876,0.1950961,0.8113717,bfSfLc8xlOY
0.048868883,0.0315913,0.03959895,0.3438938,0.032300204,0.050107997,0.38406768,0.28030774,NItt0Y7fQew
0.04680874,0.022345632,0.034536052,0.21508536,0.018667674,0.081770055,0.2583448,0.14926925,E7xZ-ws5N9I
0.019297661,0.08692075,0.093402624,0.24603519,0.037784267,0.1315028,0.18944073,0.55256844,QhuOTHRc6js
0.038911518,0.106759116,0.06530102,0.21788691,0.08096785,0.1153645,0.19351041,0.52728134,qFyg_rYI2CA
0.042001735,0.1457884,0.18325539,0.268932,0.14009233,0.22493578,0.1623305,0.48267403,7FNWR0WJZZg
0.05773066,0.12703456,0.13750331,0.33419752,0.11185811,0.29002738,0.21234576,0.42125526,GgA6OqJ6TY0
0.1609341,0.030711921,0.056133028,0.28081185,0.027407894,0.13165931,0.112031184,0.20253643,KdoTahnaiZo
0.015340946,0.029804764,0.02511903,0.25129244,0.040339608,0.06933696,0.27304766,0.25957504,63rGh9IlZRg
