PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.13235678,0.16123225,0.078372724,0.03168729,0.015757442,0.03976697,0.33186406,0.0379179,37ERC3ucKBQ
0.4520251,0.092113525,0.22130783,0.1623011,0.0825038,0.15607211,0.48267555,0.20490186,_tXlFPxLzDQ
0.04227903,0.26335707,0.09797861,0.017616445,0.011592479,0.030725243,0.2616615,0.027863128,jiucnGbVVo8
0.11689788,0.00054144877,0.09276992,0.111895405,0.054534122,0.09746228,0.3612726,0.11794048,Aq8I63bcS9k
0.105318084,0.1979492,0.1718524,0.069582246,0.0019262952,0.09596334,0.4747983,0.09215573,vYSRTMHdXo8
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,ZeFHR19k-RY
0.007657206,0.18417962,0.090156935,0.0015230493,0.013952625,0.0038971088,0.26897627,0.0033653767,psrtppZUuPM
0.19678578,0.10626902,0.088019215,0.14046296,0.057331093,0.13022786,0.39961424,0.31568077,gcsl6866niU
0.22811085,0.18132791,0.2220344,0.21545584,0.0076010567,0.27885458,0.45786378,0.1936379,uQEuotJzx50
0.1501657,0.025362518,0.1069211,0.044821758,0.0023774996,0.059229895,0.4043329,0.06977544,N24fbeXEilw
0.33166376,0.06320341,0.367193,0.2794209,0.355017,0.36010525,0.536154,0.35823336,-J4jHennAFM
0.30841374,0.12747875,0.3988786,0.21065578,0.045091953,0.22782907,0.6785098,0.22809818,0mw0Li3OmAE
0.3129571,0.09621838,0.1897207,0.3947648,0.023117077,0.3041045,0.32756883,0.24724296,RjfM01iX_0I
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,3kDmqYxgjSk
0.08221884,0.26910865,0.14467189,0.056642726,0.037023053,0.060260646,0.32249382,0.054673534,vIljE2K3h40
0.21990158,0.023070913,0.17213765,0.20304517,0.0471521,0.22574642,0.38189033,0.17056634,bdfPanvCn1o
0.09215229,0.091455884,0.081095316,0.04405916,0.08581903,0.046190646,0.66765416,0.022400793,_-qgdijctPk
0.06100053,0.12911667,0.14875303,0.027887976,0.03427619,0.06827825,0.38060004,0.041509416,EzvufTJK7SM
0.08848326,0.13163266,0.118756056,0.04568383,0.020130653,0.055866044,0.33943343,0.05429945,rQibyy60YPY
0.5999725,0.20204163,0.08337315,0.0714286,0.1609341,0.07975141,0.43165988,0.08273831,xjorPBbz87Q
0.016259497,0.079131,0.03466078,0.003285138,0.0037137584,0.0072423047,0.28623903,0.007871846,gMQhb7NKOm0
0.23230979,0.18523115,0.14979215,0.12831062,0.03616466,0.11781298,0.29913014,0.1289399,NGJE8l155tI
0.13311285,0.0010709118,0.14531244,0.06291072,0.017701091,0.09680268,0.43875206,0.14736915,zTQqlDrfPF4
0.22727469,0.19380064,0.15802234,0.18437065,0.031701013,0.20175715,0.46342993,0.1479293,EKMtE62aTpI
0.098510005,0.34281957,0.17828849,0.056486193,0.03753809,0.090285964,0.35891178,0.07872754,WmG2jDuxvnw
0.06780077,0.14717397,0.0992137,0.088301174,0.036508016,0.054627407,0.27662164,0.068283886,ctzdNvppFT0
0.1640053,0.10835516,0.21598025,0.115292475,0.059728492,0.21197213,0.47896475,0.24289943,1gwLekBt3wA
0.11341871,0.13898769,0.16817868,0.06186586,0.010898319,0.11185727,0.25497413,0.08232512,ORdu_L2oc0c
0.7181356,0.17911264,0.14940645,0.49193516,0.19042583,0.40477788,0.36744314,0.48590577,ue69I3v32hQ
0.10754923,0.14336875,0.25576442,0.11970314,0.0021518974,0.14273146,0.4250372,0.13434586,1pC7Oy08iHY
0.020651577,0.037538014,0.07977391,0.009003309,0.0112454,0.017409807,0.30923918,0.014332158,r-Eh3wxjStI
0.049652684,0.07190425,0.09515125,0.037731085,0.009509998,0.03255804,0.3324695,0.033184506,PtexYUHWu1Q
0.24901146,0.09227386,0.15294835,0.3051413,0.028610796,0.21659544,0.30301508,0.20920968,jGYTPelFoQg
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,S1EM-uf17PU
0.13394915,0.115788214,0.24109381,0.15663216,0.00069416047,0.09816702,0.41374305,0.18874982,SygZ1m_LXXQ
0.3376962,0.15500325,0.16804567,0.06962247,0.024833864,0.10159685,0.38068008,0.08804115,UgbqcJZBKDw
0.0786748,0.00023900623,0.13323972,0.11414163,0.06532243,0.17628692,0.34445637,0.19781373,uCF_PHC17Hw
0.34150383,0.06316324,0.1953701,0.1763988,0.0041649626,0.24561898,0.4831779,0.16739582,zitxIbmh-Og
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,bgB53NinCCA
