PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.12428379,0.22913566,0.2587819,0.054534122,0.027334116,0.06075897,0.0454683,0.036696,Idwupd8vuBE
0.074400395,0.26771548,0.13529024,0.19141254,0.1441616,0.07716077,0.1269904,0.11471951,j7CjkMtWJrw
0.10529489,0.22316018,0.09228364,0.083939545,0.041147184,0.08648505,0.060056854,0.052021563,3O38qaBUIC0
0.4268007,0.21519431,0.07596234,0.11472086,0.037026513,0.043314725,0.027816188,0.042332217,jBfMs-YskHo
0.02040115,0.36578703,0.28233925,0.07730943,0.056983057,0.149168,0.099353954,0.039199773,vUSWfeY7xAs
0.20157678,0.21680403,0.07003223,0.10634898,0.031911254,0.04981223,0.037194196,0.032971665,lfgaJQ3z3nE
0.33991283,0.336226,0.2687747,0.14866976,0.4557715,0.1766386,0.2983476,0.4393462,GUTH6hEt3cs
0.1464485,0.357836,0.19783269,0.07730943,0.1062721,0.062326465,0.06434499,0.15553464,I9ITUf0ZQtM
0.19869895,0.2665139,0.1387795,0.263611,0.11298112,0.116307184,0.15507202,0.087325,53rZ7cOroKM
0.23047884,0.1889444,0.10773705,0.031357653,0.052844964,0.04783126,0.053136546,0.05654804,i_pQWFkZJrc
0.43697983,0.389407,0.22465591,0.13610743,0.07794722,0.17994407,0.099497855,0.15370649,1DcjB5l4LWE
0.100140154,0.19809937,0.072490744,0.08330294,0.02893263,0.042996377,0.03287661,0.038781703,NLWNOafqfh0
0.055325788,0.2805212,0.10748309,0.0056227,0.06678684,0.05756122,0.05305692,0.0738314,K2EBkXrnh0s
0.17295273,0.1694925,0.055346757,0.2224569,0.020892134,0.033669714,0.023998618,0.031187687,S8DfLCsWxc0
0.009110385,0.27927724,0.029899184,0.09816993,0.03316447,0.0713805,0.030753177,0.03734561,zjDELz2xsFg
0.62155473,0.28869748,0.16745763,0.14463188,0.13910565,0.1677565,0.17425878,0.103014745,5QQJ6mMWoFY
0.08367972,0.5129396,0.111557804,0.06332459,0.0867422,0.25045836,0.11574305,0.08725457,cbXNhucBbYU
0.30826446,0.66050917,0.18498988,0.10763696,0.061504494,0.10435538,0.07275817,0.07563921,uLj0cBVpbGU
0.15905881,0.41208676,0.105471574,0.12631269,0.058754373,0.13626723,0.09040712,0.041384105,8ukc_HXD9_E
0.17798711,0.25062203,0.0979583,0.10763696,0.050766326,0.042267717,0.039310895,0.053252257,ilKDb75gE2A
0.09640009,0.6785572,0.37718493,0.01631277,0.27984455,0.20207193,0.19763939,0.33415473,h8x-IMYbFk0
