PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.021678165,0.36054832,0.02187472,0.11536485,0.051872257,0.01713427,0.125356,0.25346518,LJI8reBSTv0
0.040574055,0.051321235,0.045900654,0.022945397,0.052742574,0.04126133,0.10714711,0.3096746,hg1X_8xNYdg
0.027750745,0.1648857,0.02445971,0.029984225,0.02569355,0.042253196,0.10921335,0.24104789,FTg3RjNCv7o
0.025047798,0.29397887,0.025651272,0.09118898,0.0382429,0.024446623,0.064101964,0.17220692,a_EV0BOqEGc
0.07000461,0.0904233,0.08962296,0.033246122,0.12809572,0.05754513,0.19187836,0.2548033,nj6JVg0cjO0
0.17552939,0.18293107,0.3079369,0.16151784,0.26871014,0.3779465,0.706946,0.66684866,YAIc-XIofNQ
0.03525668,0.016646147,0.059574626,0.042001735,0.03703058,0.040310334,0.2337544,0.26466712,w6wTwRXqCnY
0.07555148,0.08417279,0.08212119,0.09924392,0.11823182,0.046479,0.14404112,0.21763813,j5WEItjh-Ig
0.045728534,0.11547696,0.03413818,0.0253489,0.028540328,0.048967447,0.24930559,0.35257283,ucXbIWyibQM
0.032076783,0.059003804,0.014294917,0.037023053,0.024300277,0.01701684,0.048973534,0.16171096,Lfts_AJyp6s
0.03602021,0.12095699,0.028197393,0.040628307,0.057613257,0.024262685,0.083622,0.19873051,TTt1Alx8um4
0.07529677,0.08210441,0.07626521,0.103539884,0.15044658,0.084164545,0.11065553,0.25450942,ZP9c6Pnj2NY
0.10679426,0.18833096,0.098926984,0.08796701,0.20018065,0.05302749,0.21869323,0.3659397,5HcqnHONhqM
0.057625692,0.03220956,0.08370442,0.09816993,0.09534301,0.076614246,0.15822504,0.3958204,OkjWKpuqKwE
0.026963225,0.038051836,0.019456146,0.0224908,0.026066914,0.017118603,0.108072,0.23226182,HW0wLDyv7j4
0.028292764,0.01523838,0.020426834,0.0090240855,0.041780464,0.014572052,0.057832222,0.22041361,y54vm4LLCTI
