PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,video_id
0.607239,0.16143472,0.27674899,0.15506537,0.31389946,0.17554003,0.08947261,0.46535975,0uLFakqctJQ
0.3335577,0.04971944,0.06919326,0.046661116,0.039254878,0.052865677,0.15162502,0.24553408,TIDLH2ZOf54
0.34405884,0.13973796,0.05414798,0.061363097,0.017492844,0.07597942,0.28817347,0.5286408,XYOCK4uF7XA
0.06487729,0.08105182,0.12270948,0.06674788,0.02792408,0.092701554,0.1268466,0.22801545,csEgF-jLeB8
0.22529934,0.16425344,0.054938756,0.032980125,0.03856816,0.06258946,0.12945946,0.41497797,znwOhOtm6go
0.49744207,0.05590225,0.1641799,0.06825225,0.0063515683,0.055486448,0.03684719,0.32134894,o1ugNnMyeZc
0.46910235,0.09323498,0.28951067,0.14462775,0.1019289,0.15380028,0.039667405,0.3472023,YBHeDvgA0bQ
0.9137367,0.038263917,0.2508034,0.24745499,0.39206567,0.3095879,0.71251935,0.18417531,70m_s6ltfGU
0.12368782,0.076171815,0.07146376,0.061035544,0.030155903,0.04898246,0.10765475,0.31055817,thFp32bJBhI
0.2806968,0.16549182,0.11652175,0.09177936,0.013952625,0.14680955,0.09913549,0.36819652,KARxDX5DTgY
0.120210044,0.10188549,0.17756331,0.075037405,0.01721518,0.05689631,0.10305188,0.3323871,f-gvVi3JMlY
0.32972518,0.08342591,0.06755064,0.038825314,0.010204159,0.058954984,0.0031682567,0.36459956,HMdwbq1JJT0
0.18749371,0.038067415,0.034243695,0.025325269,0.021518974,0.03244088,0.48192263,0.20351858,v0V_zkng4go
0.09692247,0.09079896,0.04308863,0.04528966,0.00050109706,0.08005091,0.10174024,0.23401418,lKi8OtMb7yY
0.08626894,0.041091647,0.029443335,0.021512559,0.031701013,0.028265014,0.11925105,0.2377663,LpjEXnmB1zs
0.25689092,0.07444811,0.07761832,0.0350374,0.059728492,0.05143336,0.11857036,0.33274183,pJHC7Ruzg3w
0.36692694,0.11449894,0.09691957,0.059409812,0.0028807658,0.104272634,0.011240177,0.38963073,jKYhLpHJv8U
0.28845885,0.11901814,0.2236507,0.5546315,0.355017,0.24068113,0.44449228,0.37153447,M2FZ_xO9RwU
0.10762706,0.05100823,0.04264021,0.023846386,0.021102477,0.03151707,0.4752033,0.21230003,u-vrdPtZVXc
0.06085434,0.035585742,0.06372544,0.05564431,0.048868883,0.025862036,0.12508172,0.24590686,P95nMoz8dno
0.28147992,0.11152994,0.1099543,0.06434732,0.054534122,0.1126392,0.010693653,0.31010973,giv2f1FebFA
0.34255114,0.22351407,0.16312844,0.17714955,0.04131502,0.2625629,0.12734179,0.37499055,7ctdLdX6WCQ
0.2715569,0.095375925,0.12044157,0.043103103,2.0336733e-05,0.065034725,0.19713186,0.39048007,J8I6yFT_zB8
0.039732985,0.024295032,0.022759223,0.019037245,0.013258465,0.01634131,0.089237474,0.17118974,myLx6o5on70
