PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.04560556,0.48097152,0.09569941,0.21980777,0.22198625,0.19715774,0.23003735,0.15837792,QFqaBuFtigQ
0.0319831,0.43329886,0.05543527,0.087430015,0.14437039,0.07112117,0.23628822,0.102815114,z15OKP203G0
0.14937532,0.124215126,0.14450411,0.0669207,0.37016568,0.1370063,0.47703183,0.5536673,iK4DqtXu7uA
0.07201263,0.35044113,0.06487214,0.10956893,0.1629997,0.05636655,0.21544611,0.16201074,ZkjG9ih2-w4
0.09581471,0.59157705,0.15122971,0.15684792,0.4373079,0.12968746,0.33602896,0.34662125,GQT-RRqLeH8
0.08339196,0.14280535,0.09335287,0.3170379,0.34621173,0.12466331,0.41899925,0.2738562,O0-pF3dvM4Q
0.036070906,0.5680319,0.08528891,0.16551583,0.24866718,0.09175778,0.18297577,0.24284625,Dx8JKitp7zk
0.16953024,0.5680319,0.22848698,0.15976663,0.28814635,0.16116758,0.3584811,0.24926454,R9lxFfOgFtM
0.10599039,0.3904513,0.0876192,0.05852979,0.19703309,0.089323625,0.25380176,0.12821011,pCqwaGM3wTg
0.092200495,0.32837376,0.057159405,0.09602194,0.10693068,0.03605726,0.35755897,0.24304435,yEL7KtQ673w
0.178814,0.45046008,0.19187719,0.14373457,0.35901436,0.12461295,0.361557,0.5921944,XRwrN_Iqp8Q
0.045279656,0.54473144,0.08104335,0.10828095,0.17301124,0.074893676,0.22089685,0.31762928,oz7yDU1FmJQ
0.17918478,0.17123738,0.11684615,0.04131502,0.20266294,0.06739048,0.46535337,0.40610415,6mGohbqdcT8
0.10806231,0.43200234,0.07819278,0.13146462,0.21728931,0.08820072,0.31485525,0.38928294,MAuAou_sops
0.047706094,0.44841304,0.031393524,0.087430015,0.11911868,0.033514734,0.26661786,0.073867075,XiOp-XFa3O0
0.07776368,0.43670115,0.07147988,0.08796701,0.18141082,0.06785411,0.23532806,0.17509364,1QhLW1A70G8
0.09431956,0.34869194,0.08101819,0.13431281,0.17176032,0.06819297,0.2743295,0.177015,gFQvnZOGvNg
0.062212385,0.56993866,0.07431161,0.08170467,0.19764258,0.07576196,0.24790561,0.19934392,IiyVFrKSRMU
0.10258728,0.5680319,0.09197652,0.13082063,0.19882686,0.075859524,0.28690967,0.42334002,bQ1LuHNJWgw
0.045635387,0.38837174,0.03502837,0.12051678,0.109107174,0.038898226,0.20393677,0.089416616,F8ix4Y2FIv0
0.06872127,0.5962103,0.03995767,0.1689685,0.10967379,0.036173765,0.27387884,0.23709531,ngElSkVYLFc
0.06036707,0.5667455,0.048631832,0.11085691,0.15548883,0.05438249,0.25512794,0.083708346,lr9JJbCc44o
0.05529117,0.47683552,0.07041365,0.043375164,0.15422866,0.095971145,0.25252756,0.16280517,o3OtFva33Ck
0.041586716,0.44062603,0.049924184,0.16035037,0.13558261,0.06977906,0.23116422,0.14699641,_x26q2lWg3M
0.09830925,0.36259645,0.1323799,0.1609341,0.24249168,0.09534178,0.2289925,0.37281668,a0N_DpQNeuo
0.044854652,0.45056728,0.08366946,0.15684792,0.1988738,0.08182583,0.21332382,0.26421383,BPbxBMbX-IQ
0.15163477,0.4370645,0.10560238,0.14552918,0.20260237,0.08041165,0.33987555,0.25463796,s6rJOdzTpxk
0.07994015,0.3192682,0.070881754,0.076110736,0.14959985,0.052655507,0.22020146,0.12547034,VuBRVGxgCdw
0.092284486,0.42677715,0.08263373,0.0801064,0.19157624,0.074974865,0.2785389,0.28469098,-zPwXyQxwDk
0.15724926,0.6433805,0.1387094,0.1423886,0.31903353,0.0894712,0.38303882,0.6159237,7sGK33uTOpU
0.028655587,0.33452618,0.02815614,0.09387396,0.16194808,0.079362616,0.21332869,0.07580931,CoCrE7bA8NI
0.10229026,0.65260804,0.091291875,0.18549223,0.19863568,0.066695295,0.3402065,0.4678427,Hdx4JsDIsWs
0.10375485,0.42387027,0.0863155,0.1024659,0.1981724,0.08281426,0.2780866,0.18815702,ufKusK6dQI8
0.08890963,0.44025862,0.09769334,0.15743166,0.25554734,0.11110988,0.23930196,0.21968311,yMU6pr2N28M
0.08574795,0.1701247,0.103525855,0.15001574,0.3243807,0.1291374,0.40859345,0.25350758,l1V73yIlTww
0.10176084,0.25008988,0.09395208,0.13251819,0.23004277,0.08155671,0.34330702,0.41182235,8WLOy5zuLJA
0.089016154,0.5680319,0.09785581,0.16344422,0.24519542,0.11877659,0.28041533,0.36596262,AOawTrPfoJU
0.037721276,0.5885349,0.029588321,0.064523295,0.07516319,0.031111397,0.19271648,0.08613164,-Nuf9uh7TPU
0.1342663,0.5680319,0.09182053,0.15684792,0.20954688,0.08490954,0.29130766,0.23682502,i5JPr7Mjfbg
0.16815032,0.2593834,0.23031655,0.4151741,0.6981972,0.33681676,0.46791542,0.3929217,q2CzWT-2Do8
0.077300504,0.43737286,0.06423828,0.15130237,0.1674224,0.0580377,0.19748771,0.14146572,hnIlzCZjh2o
0.053162288,0.64923984,0.059529893,0.112144895,0.12174733,0.047874458,0.30805197,0.21797906,7JjHNj37cl0
0.06005064,0.4112095,0.05164161,0.08581903,0.16579169,0.045537096,0.2353051,0.268715,SybEMMiH4mQ
0.05663565,0.75058323,0.10700127,0.2712817,0.4806785,0.27356562,0.34956348,0.14951678,LpOQ7qAUxxs
0.055066906,0.43494025,0.068681195,0.09924392,0.12232442,0.04834517,0.22109573,0.11380081,BIJf6tMNgq4
0.13931544,0.44066516,0.14549276,0.13655609,0.31818417,0.12495787,0.3438291,0.32403445,ZuvhrXM3v7U
0.10866107,0.63674396,0.07980726,0.15684792,0.19480665,0.057973992,0.3503502,0.50166345,HN_ox2RBn3o
0.022785464,0.3017988,0.015876455,0.09548495,0.06467988,0.035904575,0.2959848,0.1262626,RKq7nP08e08
0.057706427,0.26329824,0.07330007,0.15859914,0.29281986,0.08779064,0.28565383,0.24135627,vlLfYu3BQCg
0.10110808,0.32903567,0.058200095,0.09978092,0.14761007,0.04164421,0.31305137,0.3130183,vLBapXx9sTs
0.086668834,0.44839707,0.081630714,0.09333697,0.1728724,0.06814143,0.22417705,0.15237328,0w8Awc2nc0w
0.312395,0.48977083,0.19424973,0.1884524,0.400166,0.16464375,0.40540776,0.2603516,kPUHTImIqkk
