PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.036375545,0.12150154,0.12888865,0.22780591,0.14973672,0.03146839,0.46796137,0.1800584,MQQwhnCVkXY
0.13439676,0.22789617,0.09494796,0.16744351,0.3231297,0.038315985,0.29203442,0.2015562,PgFfercKfsA
0.10157879,0.21524255,0.010690071,0.36277476,0.2646968,0.08909225,0.1729844,0.34747088,oy2pjULLZ6k
0.11124423,0.38411108,0.22422299,0.27366906,0.35396677,0.046735756,0.4560506,0.34767172,cIAL1SE0B6I
0.1752603,0.3013473,0.11794081,0.1967969,0.37225482,0.05971424,0.18854074,0.28543097,NoQbskGHZdg
0.10347264,0.28923935,0.13476147,0.14205463,0.1028365,0.043333054,0.19153467,0.11581633,QDnm4Ydm6ls
0.14147478,0.35077697,0.0020738044,0.21698025,0.29185262,0.07125731,0.20754035,0.23275097,W5UFg2zyjWM
0.10150548,0.26017493,0.17449278,0.19172625,0.21784553,0.06329879,0.3283303,0.24014989,ixRSb00BplM
0.16072541,0.30018073,0.04406188,0.22081994,0.27645823,0.05674991,0.33931717,0.45694405,CHYWaIZLYqo
0.30696648,0.32018244,0.34388447,0.2769067,0.44423404,0.091133125,0.17041431,0.5015176,ckuqPTGbk38
0.1270552,0.28554565,0.07011723,0.20393555,0.34048104,0.043391578,0.39226028,0.23428032,2lsXC-BADyY
0.16921878,0.2645862,0.0003123722,0.20085765,0.31450826,0.06911088,0.30553588,0.26210445,LJJYgOtPpTs
0.16515043,0.2890845,0.0070110206,0.24645145,0.40504354,0.05299796,0.26278204,0.35255256,6jUv3gDAM1E
0.111220695,0.28603062,0.10031791,0.2786743,0.45935956,0.063935846,0.39334655,0.14012128,PWN-5sY10aI
0.13470359,0.29171315,0.19042583,0.1869091,0.34006658,0.05766916,0.27925852,0.25943375,WRRF4NZB3WQ
0.15584718,0.31115746,0.16275369,0.25477087,0.3953979,0.053872686,0.20790204,0.351919,13DiS7cPgX0
0.09256692,0.17543523,0.04818217,0.15634981,0.23256436,0.032917973,0.1766387,0.113163725,Lk4qs8jGN4U
0.17488208,0.3336292,0.10828095,0.19851722,0.35299566,0.05913618,0.35221586,0.2913657,mPPIv2nILS4
0.330977,0.5222598,0.064523295,0.3255266,0.56825006,0.1094355,0.263182,0.43231583,3w1c4sF4ZTg
0.11009418,0.23408131,0.09333697,0.13648996,0.22840433,0.022030212,0.28789073,0.14067428,DKOiPpFtGNA
0.20470595,0.30339447,0.119872786,0.28746194,0.3421473,0.09002808,0.1903536,0.42566124,6eS2CBMSZ4E
0.13468234,0.27948505,0.20376207,0.40606448,0.27294314,0.09958551,0.26102304,0.41114628,uKxj0ztxkQ0
0.37854928,0.58523935,0.30487993,0.44848832,0.45793986,0.28428185,0.4610268,0.7338122,n4Ce3rYkuEQ
0.09934796,0.30502912,0.02397547,0.31761533,0.12883253,0.06578308,0.16760737,0.29468188,ae_Isyek5Ac
0.05927935,0.15809187,0.1894391,0.32970992,0.061912138,0.0427093,0.28529364,0.39192465,H4ICGi3BaS4
0.097186714,0.17490123,0.14104263,0.2680221,0.26398894,0.074155025,0.27541402,0.26211014,3UOwKacq3Ao
0.1255759,0.32179537,0.074912034,0.32072738,0.29263073,0.076143116,0.30852365,0.2587602,XLKZhe2UKi4
0.13975763,0.37169173,0.101391904,0.13298492,0.25250772,0.03633033,0.2372275,0.11531739,PCpKPgxwroc
0.11328431,0.44137448,0.42616197,0.32225963,0.4323907,0.06535517,0.19992541,0.5442009,DsHXYMdXzy4
0.13444833,0.18863744,0.10892494,0.23468831,0.29840297,0.0892098,0.23913339,0.24833785,z7NeBs5wNOA
0.1501602,0.31314045,0.18055865,0.18060084,0.20284337,0.0909903,0.36368144,0.25993362,ZfzqBCC30as
0.030057035,0.10460622,0.0045120427,0.24049312,0.09058449,0.028196312,0.15909404,0.12531316,1yva4RZW_s0
0.08802536,0.20617408,0.058130227,0.15985999,0.24215634,0.024385372,0.2913051,0.1790302,qNgLrPkp2y4
0.3423869,0.57649827,0.17380224,0.36351508,0.5233011,0.13284633,0.14096266,0.759901,wKlMcLTqRLs
0.20159748,0.3902133,0.039254878,0.15540981,0.25666857,0.065078676,0.30094156,0.23997408,JiKox8nkCOc
0.24957736,0.32122976,0.22990009,0.22230221,0.42008892,0.10470018,0.25532532,0.54780483,Xexl4Tq8wBs
0.18769549,0.4415721,0.15001574,0.36698428,0.38457915,0.07080532,0.017297093,0.60105294,6oEtF8FdqpA
0.118291005,0.36929086,0.355017,0.21616505,0.32921398,0.056310084,0.5680319,0.45888597,brBYzbZiImc
0.16771095,0.30650294,0.12309273,0.17562607,0.40741947,0.050486803,0.22772315,0.24076684,GJEqIZbv87Y
0.14940222,0.3135333,0.043031808,0.25879356,0.34960416,0.053032774,0.24435207,0.29726976,sWKEBAXd-Lw
0.2596913,0.6869053,0.39108577,0.41287386,0.6058253,0.073560804,0.0748186,0.60684144,y8MBhYsGu4c
0.13586448,0.18831313,0.3123962,0.26083955,0.2832608,0.07584771,0.29268324,0.48733023,CLiU-VjGsvs
0.2255993,0.58227974,0.17957193,0.15913425,0.46287423,0.07141216,0.18469352,0.30379587,xTLUYda-0O8
0.13960777,0.31435245,0.16965903,0.2118713,0.36761948,0.04849611,0.3968556,0.27199644,LHBvK-MiHyY
0.22706915,0.39667422,0.20449556,0.36471373,0.5098931,0.09506868,0.051582742,0.48247844,myCNIuPZ5y4
0.10607381,0.22367094,0.06412373,0.24551694,0.4327838,0.048920173,0.16716366,0.2811135,bZ-wCP4tjrg
0.12409945,0.22670841,0.21109697,0.26898012,0.26427898,0.05652161,0.45510042,0.42037803,qWBfKb3u0OI
0.20814559,0.5886342,0.4151741,0.21221367,0.6356477,0.02798237,0.3575772,0.50259745,xvzz1IxUaNg
0.15168785,0.31399512,0.059728492,0.22950618,0.20752665,0.05980688,0.18663915,0.35046622,A1AUdaH-EPM
0.09921484,0.19333199,0.08367105,0.19639333,0.29897955,0.034742706,0.3331278,0.23632127,Sx0xnbPGkDk
0.69309914,0.38939402,0.45964533,0.6580235,0.42892948,0.92006356,0.27454972,0.44887912,edSag1DjlCI
0.13555834,0.29038456,0.12760067,0.2682414,0.3253153,0.11623926,0.1951938,0.3355997,akDH-Wpj-iw
0.0832713,0.14932376,0.0070804367,0.26021215,0.19233744,0.06028145,0.10108337,0.120310865,plM5Hp5uyLs
0.13742335,0.2545458,0.09118898,0.17159785,0.2888668,0.053485837,0.29099455,0.2647441,u-RNJBIDCLU
0.1720504,0.389757,0.124380715,0.3162394,0.2582403,0.2220361,0.32061076,0.35767668,7KPK5sMar5w
0.071636364,0.17701866,0.31089294,0.20860489,0.3292372,0.044430938,0.19240408,0.17923811,kYDF2AIXdfc
0.28682986,0.29770806,0.12888865,0.34171718,0.30851313,0.15411519,0.13273923,0.5009736,irqcnMk4flE
0.11089059,0.19983679,0.10956893,0.23784828,0.45757377,0.029590847,0.17859879,0.4289353,0bACSPzN1xY
0.17039971,0.32042196,0.08635602,0.19425385,0.37415344,0.07380994,0.19495614,0.28340873,o_NbDdBq0pU
0.1347792,0.2956211,0.02809576,0.19862656,0.4103047,0.04435181,0.2661956,0.2048749,PbViVDGsDLU
0.11959546,0.20227942,0.19141254,0.23377895,0.16105701,0.13141157,0.3979943,0.29703346,fJ9X5DSnVms
0.079799235,0.19694969,0.13017663,0.19053966,0.4316548,0.027470328,0.14167936,0.13560604,ouQHa-o5J-w
