PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.25799587,0.47159535,0.19243547,0.34466723,0.38356045,0.48824733,0.19831038,0.25778854,ABMf6QuoQEk
0.31397057,0.4093671,0.27412567,0.3282253,0.100938566,0.44819078,0.23094721,0.15338081,fW4TaB91SHM
0.10150453,0.534983,0.08912134,0.08367105,0.26169643,0.18788166,0.09443405,0.21299453,I-Gri991SDQ
0.17915313,0.3329339,0.09152716,0.07251463,0.19284618,0.15819378,0.17064486,0.16864449,RDeCNQCXyto
0.28437966,0.39571103,0.32361156,0.20522906,0.16729201,0.40296465,0.30103555,0.15829866,451V-lBLfuo
0.11231722,0.46810552,0.09703638,0.17449278,0.19481131,0.3092711,0.15225925,0.23259217,gSXYn4HFQlI
0.19321263,0.5062359,0.19910231,0.0072886846,0.15517142,0.5036913,0.15777974,0.19959792,cn8QgznNFpU
0.056651138,0.46041232,0.02486624,0.032387726,0.08431344,0.23252027,0.027298436,0.08484752,0BOtwXTa3vA
0.15051685,0.37489977,0.18886761,0.10515087,0.08759886,0.3108706,0.13637583,0.20660673,_Z99COgONYQ
0.22487476,0.28213674,0.1896826,0.50221276,0.5606031,0.17890748,0.734651,0.08155008,KsnvKyly0DQ
0.14334808,0.35583663,0.22385666,0.0022560214,0.14395034,0.4928118,0.11430215,0.14179283,XWQCD-TYXhA
