PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,video_id
0.026675023,0.0050673713,0.025588917,0.2553363,0.026348846,0.058413852,0.025215896,0.07372183,iwDD3h9Mc1Q
0.17100953,0.011037151,0.2556053,0.35695532,0.19834805,0.096081205,0.12562092,0.5493404,zrQKw120RgY
0.051166616,0.018881164,0.17631362,0.16816705,0.16405217,0.39913434,0.14995451,0.43567166,RBjWwlnq3cA
0.06358987,0.005587992,0.06620589,0.2679208,0.04557693,0.11213062,0.03230151,0.108875185,RPjmuJcWm3U
0.058283687,0.017006932,0.06622616,0.2754415,0.058106445,0.19915587,0.05662572,0.28286576,hXhMAj1pUMs
0.07645162,0.009718247,0.18157242,0.25847828,0.08774178,0.5036197,0.08237046,0.331857,VMbsjkVNvXA
0.06818493,0.014785618,0.05026306,0.28480104,0.07562378,0.08731603,0.061739102,0.2087108,93d6hdyX3BM
0.047876824,0.010342991,0.07225397,0.28603935,0.04734333,0.016892482,0.042949434,0.37037945,mRQTM0xU9r0
0.07990741,0.022351967,0.02781471,0.35222346,0.0651987,0.07309714,0.023861844,0.16645354,GzWvQ6eXEiY
0.07538942,0.012772553,0.042549066,0.34112313,0.040321488,0.09156854,0.040666014,0.15794294,PU5PSjadch4
0.034703813,0.010898319,0.02825948,0.19678025,0.0321672,0.07381059,0.031182822,0.05516429,TuljCWV6gLU
0.15467978,0.05773066,0.13521801,0.29226223,0.2154797,0.06810185,0.22706671,0.3629116,7hZ5hinf9vo
0.1428513,0.038053125,0.121192515,0.3796979,0.12037675,0.011857722,0.06700106,0.4268217,C9FLZkDaS0U
0.036719345,0.011175984,0.030712202,0.299932,0.03251278,0.4518375,0.03728614,0.11782146,zQHA-UaUAe0
0.06957815,0.29261994,0.07541024,0.21156995,0.12012221,0.27998352,0.15657526,0.19235124,p6QmV1EbVnI
0.07304096,0.004373211,0.0454136,0.45148152,0.061272394,0.13005921,0.042497218,0.3129544,pMe9ZGIg-Jg
0.07110445,0.00018438637,0.114975914,0.25882265,0.06489285,0.001821076,0.041255925,0.28166425,bJ6WUdTT6q8
0.0329225,0.013536129,0.01652679,0.20565268,0.014701877,0.13700183,0.016273122,0.04994715,-dXbLg3miSY
0.035598446,0.056931525,0.035241887,0.28527844,0.046864886,0.00087186793,0.037590075,0.19755985,mjD6LHUytl0
0.06401671,0.010967735,0.057551324,0.19114132,0.058221947,0.093031496,0.040649794,0.1384067,_BnlKmtYtts
0.039196152,0.010551238,0.09889191,0.18337935,0.049157668,0.16104446,0.05932092,0.06821071,t12i76lnOnY
0.11019168,3.931768e-05,0.05561611,0.5326208,0.050271485,0.1476102,0.04576968,0.2100112,kID3n_-kees
