PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.1539292,0.082875066,0.13094279,0.109623276,0.06341807,0.09319763,0.33656305,0.39851755,Xj-KtlOeWO0
0.1710401,0.19310063,0.15408199,0.065439336,0.050014153,0.07202523,0.17552531,0.15016314,I5c32yMoa2Q
0.04680874,0.4038468,0.33090943,0.29799554,0.1392295,0.18571563,0.36052054,0.45660058,8WzMZxT-41k
0.046122026,0.03621096,0.11815858,0.071582794,0.1125255,0.097612776,0.29886824,0.2969445,xdTS2ljRYEE
0.09816993,0.6789859,0.06951286,0.06962113,0.04456467,0.07617521,0.2502506,0.29303643,7fup7Fcs7UM
0.07730943,0.44955456,0.14435278,0.11626646,0.071556985,0.08076711,0.24807623,0.17986195,xgj5fKZxSkU
0.22980565,0.15691008,0.22999685,0.2941898,0.2234451,0.3055212,0.35694283,0.37659058,TcfSpa-dyn4
0.09333697,0.26689819,0.11787438,0.06936253,0.038112145,0.049125224,0.207417,0.23990425,D71bwVKWxRE
0.1473238,0.46055537,0.12202858,0.075513646,0.04191474,0.052473962,0.2848134,0.42937607,BpxxTzkb9k4
0.25676212,0.0061076633,0.5756115,0.92185444,0.1640654,0.82843864,0.31974766,0.31652117,iQ4jtmHaFHA
0.13476147,0.24045564,0.09371435,0.057219297,0.14982106,0.09964135,0.39296356,0.39725566,jGQhEa_0NVU
0.027580723,0.1864252,0.039532714,0.02441774,0.04710573,0.026439538,0.21443942,0.056556433,CE1ZdHIRI5g
0.1943727,0.3747425,0.28936243,0.16237089,0.041146804,0.10426225,0.29820004,0.2514428,AxEJ09djDUk
0.043031808,0.15849529,0.108847626,0.09340212,0.032295953,0.052024882,0.27057222,0.091558635,n6kk3P-clM8
0.23014031,0.36195362,0.18285586,0.11932389,0.08170116,0.13027592,0.3309904,0.78070545,vTXq2KJieKc
0.050585672,0.09565702,0.09366802,0.038471077,0.05335095,0.062458083,0.16871281,0.17321637,pCFBfFEwnXc
0.07371333,0.36811262,0.038858153,0.051043294,0.02403202,0.025141422,0.25226304,0.36193886,ROIOuC912WY
0.11665283,0.2004408,0.15531693,0.070063256,0.13134748,0.12310093,0.32574514,0.37326112,dRMKVM7vl4s
0.14059398,0.1831087,0.05305087,0.027856957,0.06266896,0.05560121,0.23862034,0.30062515,Db2eeJza5nE
0.060527626,0.14316379,0.09659786,0.058267016,0.0673658,0.09004231,0.19759761,0.21711315,SIePpuakrcE
0.38965073,0.06972721,0.53934205,0.4036902,0.0787023,0.21934724,0.34090903,0.49009737,bmMf6OdgUwY
0.059328925,0.2666139,0.110843934,0.0678648,0.038248092,0.03648868,0.3304073,0.104161665,VRTFgCe9pLU
0.023632111,0.20841834,0.14017047,0.084264465,0.039361823,0.05314407,0.23136607,0.08888422,6R3qbw6i590
0.035477944,0.31797096,0.18065268,0.21420059,0.025943808,0.05237696,0.20363136,0.21042354,-eAIKBspVEQ
0.09602194,0.14738292,0.054166302,0.036048908,0.20697877,0.060205914,0.4726144,0.10970151,_QJEZbQxCLw
0.26132804,0.27807277,0.1800831,0.15670532,0.07554378,0.12487347,0.28593215,0.20375346,dxQeTc-Onro
0.037881445,0.18455307,0.05902296,0.019973405,0.032274652,0.034346435,0.16681768,0.1039724,xcpS3i6Dutc
0.22981352,0.2655529,0.15523404,0.16925582,0.15307648,0.16090922,0.46716607,0.5371716,PVacZ48k87E
0.12953265,0.68368137,0.19248897,0.12607433,0.09530011,0.11908235,0.22233686,0.2804857,6dI5JeNZ9-s
0.22687212,0.6494115,0.41206315,0.20782249,0.14672796,0.09574624,0.36000833,0.4169331,RJLe1ttd9qg
0.15042676,0.26871642,0.16613925,0.16245726,0.08551562,0.10730905,0.3079249,0.16753556,dzFxTSLvIAM
0.13969667,0.42660314,0.14412424,0.11282327,0.047205593,0.05055489,0.2897623,0.4437907,UT42k4BrM20
0.01561861,0.18928789,0.09267555,0.03708761,0.01607825,0.021527454,0.22152543,0.05662163,zu0TiIWW-sE
0.03736641,0.07918298,0.18519546,0.121218346,0.16733734,0.11351557,0.5372477,0.49489272,VQZpM224NOY
0.20742953,0.54913735,0.2985711,0.2738023,0.051876847,0.14561519,0.2687455,0.61923116,L7HDeLKW6qA
0.48794,0.35169405,0.4777111,0.4637929,0.05908206,0.16825594,0.4099891,0.40173963,DTYwFkZVuoQ
