PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,video_id
0.8422688,0.3905958,0.28002164,0.4975266,0.660731,0.39554107,0.39201483,0.50109076,bjJC_76ZY84
0.8747629,0.48794,0.18951665,0.47866586,0.6250483,0.6335004,0.39877972,0.4209161,GCjsFMuVpiI
0.6647203,0.112144895,0.17291625,0.25468802,0.29194546,0.38408872,0.20480853,0.24563009,N-1Pl-A91p8
0.79926026,0.36667302,0.45138946,0.4033724,0.36723718,0.5292642,0.35297352,0.23207198,x8W83QvFY0E
0.6350989,0.2459383,0.45179036,0.29376623,0.25314096,0.48150283,0.20175478,0.21339716,I75kfAVF64A
0.4817052,0.10461388,0.4207888,0.19688469,0.23892134,0.1631519,0.24963881,0.19287227,SvP-oYv-_IY
0.8016679,0.31714454,0.118089944,0.32129803,0.49074456,0.30025685,0.25607094,0.35806176,lY9IxBuGkXc
0.40956554,0.1785852,0.60408276,0.17661496,0.19729607,0.09505243,0.1718971,0.15673059,75d2a-D-jkA
0.7453794,0.4151741,0.47710273,0.29325724,0.3935983,0.5754511,0.20774364,0.27950567,1qjKuWny2Kw
0.40189022,0.009787662,0.4995739,0.3228923,0.21170902,0.11640415,0.1968729,0.13243411,3mm_mMf90Mg
0.57971597,0.3093897,0.5651069,0.25126052,0.21400633,0.12585713,0.18872625,0.15881705,AvQNS7mACGY
0.13455325,0.060927194,0.45766428,0.19503403,0.07289244,0.024514547,0.15524359,0.04860632,vGE8OBNbwFU
0.54154986,0.1580154,0.23454338,0.34205773,0.19294691,0.2439844,0.4796154,0.18676329,WHyWF3eUUXA
0.74635077,0.2712817,0.27868158,0.5192265,0.464102,0.28122565,0.56866205,0.5089635,gZYIZbsg4PU
0.6372815,0.4396069,0.45267177,0.51648563,0.3535121,0.41150442,0.25679737,0.22457492,XhE_NzRWsQU
0.87698615,0.17661177,0.54105234,0.43228555,0.63052696,0.575979,0.40183318,0.33619612,r5M8OAmrIFQ
0.5788032,0.0789077,0.52430797,0.33463904,0.2857926,0.3717963,0.32177594,0.18432418,gh29BgWCGYU
0.6350989,0.3598433,0.67054373,0.28152052,0.25304663,0.28560984,0.3169975,0.15695252,aHrI2dJlHYE
0.43181935,0.09602194,0.5353803,0.27260652,0.14654697,0.24271773,0.18743795,0.13214684,jyoo0kcgJg8
0.011834104,1.0168366e-06,0.5680319,0.5488156,0.009340119,0.063249946,0.24825022,0.014569309,FsbpS9fuGfA
0.15882322,0.11472086,0.43077,0.20587215,0.08762594,0.036516074,0.22830747,0.108682774,6c-PpPUZ7Wc
0.4017231,0.05613239,0.6099174,0.25092965,0.19427603,0.14266054,0.19001651,0.14961919,0hYRORLXGvY
0.2222544,0.31693128,0.7079002,0.23591611,0.090562865,0.097144336,0.15314502,0.0524393,tkmYaNiUBUM
0.57906294,0.012356056,0.35064912,0.31833658,0.2357606,0.48477402,0.3445466,0.30678123,2lG2kVfNylE
0.58523935,0.2965773,0.13242084,0.33440226,0.26207712,0.274771,0.19373302,0.17928313,3PO12hoC5LA
0.39394858,0.21186037,0.38805622,0.19690819,0.19975463,0.08260568,0.17950971,0.18322577,TzvYn4ChbPU
0.80063343,0.37954164,0.6574299,0.25108588,0.5706505,0.1963393,0.2907304,0.35145953,M3ORdTeISw0
0.87698615,0.28923595,0.272502,0.3092948,0.4899016,0.2938925,0.26079074,0.26260602,7Cv-J8KFMNo
0.58523935,0.006525108,0.44702157,0.2628934,0.22592415,0.17995417,0.22435875,0.19116047,rf93CllixoM
0.6731828,0.5958905,0.34809408,0.30979925,0.45273247,0.17560028,0.25403172,0.28654942,FPriOXot7k0
0.19309081,0.20596254,0.4006357,0.2816593,0.10894876,0.3037469,0.06340344,0.055299453,C1roM98Dass
0.0044887457,0.0003492495,0.3421206,0.24343269,0.0056850994,0.0054058656,0.14094745,0.00349094,lAHRBph7hQI
0.60678047,0.0013796439,0.39827555,0.32571155,0.27859095,0.17513111,0.26925066,0.19745725,j3y2lnYKJ2w
0.6350989,0.012217224,0.29577494,0.33972234,0.2775049,0.29954994,0.29352155,0.24004622,Vj-aGNMEiNU
0.5696732,0.2712817,0.45241025,0.31072444,0.22336414,0.18795252,0.18586275,0.16040139,YMKn1N8vsII
0.35900083,0.0033493242,0.27851042,0.2855251,0.17045575,0.20318304,0.30929494,0.17966308,AlypbtTxk_0
0.04061279,0.15334547,0.5529255,0.18035096,0.026946042,0.021162516,0.15488401,0.025649516,6daUsDJbTL4
0.47073045,0.38261065,0.581959,0.43019363,0.2982021,0.08008293,0.3954184,0.23657383,KouxOfilQFw
0.69780326,0.35870504,0.5680319,0.34247056,0.2928098,0.5067548,0.20258984,0.15796705,2RHvCdb9Wa8
0.15857916,0.19789414,0.62815434,0.364653,0.09134561,0.17818429,0.32127672,0.06443316,HGGpsbR9JM8
0.4365648,0.04165838,0.52734,0.17252076,0.1754328,0.063684195,0.14683306,0.14150329,ErwyVwer0cw
0.0559999,0.00036877274,0.6282669,0.21905707,0.037631094,0.0236291,0.121633425,0.03155712,kLrhNdpPgok
0.56674325,0.28923595,0.5043369,0.3153899,0.29381192,0.09271976,0.21306798,0.21067226,rxjBBQ_RwcU
0.047458425,0.016243355,0.6983601,0.18157023,0.027182048,0.027269214,0.11834266,0.019289533,F6cYU-KS_2Q
0.7350728,0.1530536,0.04994941,0.5020974,0.45196137,0.7392753,0.5082521,0.3806122,OPPu6Sb_GKw
0.61077315,0.31089294,0.5028413,0.2606022,0.29819748,0.1271315,0.18773958,0.12063432,3amLBeraOqc
0.8034281,0.27690583,0.08966576,0.32362303,0.6356145,0.7039998,0.37037814,0.5483224,BevhKvil0vw
0.67540246,0.36805952,0.60478956,0.3433808,0.3132018,0.25369796,0.2329122,0.21752585,emMczq9oH7A
