PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.38992992,0.19000757,0.54961246,0.19085683,0.0087811295,0.10380645,0.07789717,0.11995819,8YEfg0gCm6M
0.6208114,0.25252026,0.37291184,0.25962695,0.02655065,0.19201024,0.3007003,0.28039557,11Pw_fi2TOg
0.4397881,0.063769,0.43150908,0.0656779,0.031357653,0.3158736,0.09064103,0.15046893,TkuIh1B-RCE
0.30683127,0.018280016,0.09926046,0.018187277,0.05093802,0.099509716,0.030379938,0.121604435,tCIYxn5vxis
0.36710608,0.053313427,0.3971813,0.056641594,0.10300289,0.24550356,0.04613817,0.081594646,W1nBeHarfeY
0.37518913,0.038616538,0.085611075,0.07861214,0.0016486311,0.02608534,0.030867182,0.05260744,FiYBSvBRyUA
0.3194389,0.016176494,0.05073803,0.022980582,0.05773066,0.20175998,0.021152217,0.0120093925,4HFBYciIfiU
0.25789237,0.075223334,0.2704224,0.078401364,0.012217224,0.09908147,0.03744062,0.043687604,aR8o33eeZto
0.35198408,0.10734508,0.49600595,0.08872353,0.028610796,0.08047314,0.087416455,0.20089622,JIiHIEtVnIA
0.16938616,0.01294006,0.03276071,0.013017003,0.009857078,0.2702624,0.01730862,0.016822997,6BluRg9nRho
0.2750945,0.05316374,0.13283172,0.08493943,0.042001735,0.2776718,0.027655205,0.036891583,sqE1Q0i9NCc
0.21860643,0.15763755,0.1275874,0.10000976,0.08796701,0.07600068,0.12195742,0.21020305,zkNsavFLIds
0.29303563,0.10916349,0.22388974,0.13215256,0.050585672,0.19939396,0.078081295,0.07384636,PGOSTnyFo0I
0.3413445,0.07825767,0.19059984,0.13291849,0.013605545,0.30945244,0.11924292,0.20250545,53_CwfdBBpg
0.2929609,0.02329693,0.08171656,0.032460064,0.0142302895,0.1267088,0.023007458,0.050320413,ZfAS4fSkd6Q
0.28032568,0.15655325,0.5539593,0.1592833,0.0038005284,0.19326726,0.075348146,0.11213982,dedk5Q8bwJ4
0.26146445,0.1513925,0.28623253,0.064575255,0.3511902,0.2651505,0.47426063,0.24218193,i9ANdxrcBR0
0.24213894,0.067241594,0.24363422,0.051622353,0.015479778,0.1751428,0.05821378,0.11286363,uiqj8XvJgNA
0.33075237,0.32796746,0.3393992,0.19081353,0.013952625,0.29836595,0.46469617,0.43144226,UFPxOpJw_eI
0.43302977,0.10860438,0.56617045,0.07213637,0.09816993,0.23283303,0.13994648,0.27642888,IZ10AyhXImY
0.39975795,0.20332836,0.38177812,0.12010164,0.16482529,0.003594261,0.26281047,0.3282062,ro_U3tS93_4
0.4186763,0.04816233,0.114093654,0.06136216,0.008121678,0.1946258,0.06113871,0.05084608,j3eRAGKVLys
0.20134692,0.0073762103,0.1024205,0.009867156,0.0068374802,0.107856825,0.008589562,0.011433954,nUnS0vmVRqU
0.26772752,0.060091853,0.12892026,0.085602194,0.020408317,0.43836212,0.048043713,0.038592253,PKRajxPvv0A
0.45501247,0.06070611,0.24280985,0.11351156,0.04680874,0.20931208,0.06053169,0.07666305,wapg3iJE9Es
0.43072727,0.094865695,0.10810471,0.1668571,0.0053103273,0.1821058,0.04201106,0.050306734,--8ayeKLG0c
0.87669635,0.25599962,0.49710774,0.3959283,0.2712817,0.2652354,0.21594109,0.21686623,m8mmC3tyQ_I
0.2939132,0.03316983,0.12321897,0.059851617,0.009926494,0.2727062,0.03282928,0.056392554,rzATsR_Qdow
0.39582968,0.097943075,0.10522773,0.14586258,0.011870144,0.075253084,0.049778674,0.04822705,UsKMpF-mjsg
0.26059884,0.035096616,0.09631841,0.044272136,0.037194733,0.43682063,0.057689525,0.09610827,hIw4SEZtN_Y
0.27681732,0.020727865,0.052843615,0.040161505,0.033074442,0.31875774,0.02079891,0.025177851,2ucBTKaEPMc
0.5187479,0.12974122,0.25036544,0.19990622,0.008954669,0.1637592,0.06330552,0.04728333,h-EsSUJZ_k8
0.32075492,0.014274616,0.051904168,0.03031428,0.0054838676,0.26465717,0.014399198,0.010846111,q8xSdySw8kc
0.3000432,0.14860873,0.20628873,0.13037054,0.016243355,0.013935335,0.08074239,0.05391892,x73D5efpCkE
0.555357,0.15037253,0.14629807,0.1992262,0.016451603,0.20113863,0.13936058,0.147417,l7ghFUOsK7U
0.5824717,0.13109519,0.30546448,0.15535925,0.02397547,0.28920177,0.14959483,0.13534,djIo83rkj3M
0.30182004,0.051948167,0.1571133,0.07901055,0.0067333565,0.18983999,0.043136295,0.041779563,Y2jmDBtSzy4
0.30087543,0.15217243,0.5488781,0.11555817,0.08689302,0.14900549,0.16428787,0.105394825,p6t1QgUfPcM
0.26451308,0.030135786,0.05794654,0.030303102,0.0253489,0.29642037,0.07109854,0.024659581,UHs3NZMO6e0
0.3436004,0.16534789,0.31589517,0.1634123,0.02809576,0.22386818,0.08839741,0.16055721,Me1SZjWBuoI
0.326878,0.07112693,0.20689191,0.08028418,0.011870144,0.0947276,0.026311811,0.03687952,OJjh4LX_4Ws
0.17697322,0.037201434,0.08568144,0.04721317,0.015202113,0.05936245,0.016722638,0.028459955,YYsYgNz58Kk
