PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,video_id
0.02518686,0.06132676,0.021463383,0.016036468,0.1087489,0.03446669,0.19472362,0.01648153,CAB5IMaiag0
0.10555758,0.040628307,0.19163203,0.08902178,0.0413501,0.23498145,0.4508807,0.18365602,SDRxfuEvqGg
0.020706356,0.067320265,0.007863503,0.04609534,0.08886618,0.02221179,0.20830452,0.009391192,I79-EDGIkp4
0.03284671,0.13969667,0.01729251,0.050259434,0.17998675,0.07729883,0.1795928,0.021711053,R3JsEsWmzog
0.014430038,0.01596569,0.019147066,0.012246561,0.08041653,0.038338233,0.16420689,0.014156823,QlQ-MEZgRGY
0.07752857,0.01999182,0.03114218,0.056644432,0.14813082,0.056289192,0.26180804,0.04330889,ndYH2PLyCUA
0.06930828,0.12116077,0.121385366,0.037799545,0.05107,0.48458242,0.32501575,0.06833151,PeYJTluQ5tM
0.2804822,0.16275369,0.055860806,0.22264266,0.34176087,0.19816247,0.20435351,0.096463405,jGwGbAS7i9w
0.042905457,0.022213135,0.041968025,0.037414543,0.1245043,0.10117652,0.16028877,0.046539746,cn9PhiDJp-A
0.036116235,0.021380141,0.043306246,0.047975693,0.13678926,0.07263096,0.17638366,0.05010271,ZfFvLJyPf3o
0.048246875,0.020824814,0.05937356,0.021638602,0.19953476,0.11046092,0.27043122,0.039113387,6zFQsNfLhuI
0.04228666,0.015202113,0.031037852,0.048424035,0.09508131,0.041353635,0.2218553,0.04379088,Al35NHMAaAU
0.116647005,0.01492445,0.066453464,0.061562594,0.26717576,0.34065497,0.21519709,0.06525391,WkvPdUtYhX8
0.16263959,0.02809576,0.03748744,0.084172085,0.16238762,0.35269704,0.329414,0.06880196,qUfeHUiyY5Y
0.14979841,0.12953265,0.1226322,0.09067959,0.1028157,0.16344348,0.3450378,0.1347771,-D_Np-3dVBQ
0.056138303,0.08689302,0.04757717,0.059072066,0.083111316,0.2579053,0.2946315,0.071902804,PtP-sBbeL2A
0.1143936,0.12888865,0.029693075,0.12077632,0.14753549,0.19804962,0.3071676,0.0597305,wbR-5mHI6bo
0.015152788,0.02054715,0.035625108,0.032591123,0.07204541,0.046778396,0.2734196,0.02072454,ipVxxxqwBQw
0.13802406,0.06132676,0.06537828,0.11892175,0.18498503,0.37298486,0.36504483,0.0986574,vpTHi7O66pI
0.057060257,0.07211506,0.06503294,0.044972926,0.036227155,0.13379657,0.2816191,0.04329472,dZ6XTVADtf4
0.16915362,0.014091457,0.13623834,0.066430315,0.13897233,0.19191873,0.357631,0.10200363,MtA_lKXCT_E
0.11274636,0.02397547,0.12165373,0.11913381,0.39310113,0.10329839,0.30440733,0.11717325,hatkGFTPyUE
0.05956665,0.028954152,0.050548334,0.063158296,0.222676,0.057671383,0.19805756,0.049920555,NGbXcRwtyyU
0.069712676,0.021102477,0.034704458,0.04948042,0.14407283,0.08715286,0.27061176,0.037081152,Wp-WiNXH6hI
0.12759796,0.09602194,0.044460256,0.058814503,0.18338044,0.43538752,0.19367471,0.07018318,EXkbdELr4EQ
0.14490737,0.16482529,0.064889014,0.08938753,0.565654,0.41343233,0.26066867,0.0849675,qnT7IYDNXcQ
0.045872476,0.09548495,0.03360893,0.052087907,0.22839324,0.1913802,0.282428,0.048148707,5YcvKvxWaCE
0.029760659,0.043375164,0.07314467,0.037742887,0.24014303,0.1955258,0.31479198,0.05820318,tlWuP7wESZw
0.07990735,0.038053125,0.047585458,0.104058884,0.14412951,0.10424297,0.29052654,0.051548257,f1rxv1yPQrc
0.015640581,0.0168681,0.025552332,0.017649135,0.17105664,0.036137573,0.2538219,0.013575575,R7FAAfK78_M
0.15517269,0.09548495,0.059993945,0.12300004,0.17611854,0.077526055,0.30390367,0.066052966,SaIHzBXk78g
0.17847656,0.03736641,0.123640805,0.09084859,0.2762779,0.41160938,0.40863284,0.11152889,t1V0Qu_rfks
0.20770763,0.119872786,0.046879254,0.104688756,0.10326982,0.25659415,0.35722855,0.092926465,63vi6Yl-ulo
0.01748115,0.089041,0.07375253,0.015274203,0.09183185,0.06809902,0.32929096,0.029167878,XTpnYo6IloM
0.054181,0.01492445,0.03107628,0.035589065,0.11578902,0.06155632,0.18870568,0.03903392,uvqU_L5PZtk
0.029950326,0.062125895,0.031731363,0.031062149,0.14692208,0.24290694,0.23245437,0.04031118,GSIRedbcGYE
0.06705844,0.019158829,0.037200317,0.10914015,0.09696753,0.062425107,0.23438214,0.07700246,jAa58N4Jlos
0.39595443,0.1710401,0.082840115,0.21466222,0.057721913,0.25744912,0.44740424,0.09186934,2ZGSSb4I43M
0.055463832,0.05373499,0.061435502,0.07961055,0.090511724,0.06947422,0.26470092,0.05317441,es2zp9ziKes
0.14057961,0.10763696,0.05857062,0.103850015,0.20046632,0.15678693,0.31335095,0.08942814,xZ8N10-WXjM
0.111881,0.17587385,0.1851827,0.12423036,0.4160094,0.35346788,0.27737218,0.14866035,5bhBvHNrcSs
0.23455535,0.24418297,0.110869706,0.24540472,0.36619353,0.31557888,0.3276388,0.13875738,fDlikIfpdR4
0.26066115,0.1464265,0.039497092,0.11330029,0.3204017,0.4668703,0.2630468,0.08311339,i4Hnv_ZJSQY
0.06362318,0.019575324,0.04789878,0.114320844,0.19001417,0.31590497,0.38542408,0.03995782,bxl_lLy67ZE
0.049342897,0.031185975,0.061110716,0.032534976,0.11259467,0.25398993,0.23497008,0.053850196,2WNPmecZlS8
0.05288959,0.13251819,0.049017116,0.0643532,0.38386625,0.25155324,0.28394625,0.049006723,uMxsfImpaYM
0.15213944,0.022773718,0.03835012,0.118279226,0.32569066,0.06464248,0.20457876,0.08413623,A7ktYbVwr90
0.052491907,0.17587385,0.09017636,0.050200183,0.21415529,0.12897207,0.3369953,0.045148034,uqwvf6R1_QY
0.07504555,0.05493369,0.062076543,0.069457285,0.17186959,0.20368364,0.25922993,0.06752963,vy3gMVGwjuc
0.26301467,0.18549223,0.13665502,0.1968637,0.12313986,0.3256344,0.4057577,0.14456455,6iM3kHSRNu8
0.115581825,0.20596254,0.16462138,0.13500577,0.116313085,0.17512374,0.5377896,0.11398043,e6eeiLoXXB0
0.3904251,0.123736724,0.09131629,0.15485421,0.299881,0.52508104,0.26874414,0.14796579,N1cdCUZNh04
0.13881935,0.027752401,0.057423323,0.1020049,0.09016599,0.1413511,0.25163132,0.06069276,VJc4KxGZhXk
0.087852016,0.112788886,0.029126827,0.057118107,0.2521283,0.105062634,0.27895868,0.04144018,zZkpuglrHy0
0.07721284,0.0068027726,0.0130929565,0.048858188,0.08468744,0.09054932,0.18546177,0.024469202,8tj_2507rv4
