PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,video_id
0.15679711,0.081511125,0.33274516,0.30681726,0.128792,0.025005542,0.06993391,0.4352677,yGZ0lxndLiM
0.080200404,0.08405606,0.21329728,0.17885461,0.07433188,0.021796638,0.08455003,0.15169574,sDn3YDO69S8
0.13891321,0.09073064,0.24821982,0.13908881,0.050584275,0.013050216,0.0678743,0.1752194,d45ZjKGbOOU
0.12706998,0.11720012,0.27039936,0.13392356,0.06792589,0.024833864,0.14598325,0.32377234,ddiYlzTbrGU
0.10497439,0.12384936,0.28122428,0.09364178,0.15876967,0.019714156,0.21484919,0.47048134,JYYjwKoGi3I
0.071442924,0.08747814,0.36743623,0.45781943,0.09038619,0.13476147,0.17748246,0.3094221,rYlk-Hd3Y3I
0.054822072,0.048665844,0.24399619,0.085820474,0.0308554,0.019575324,0.035050187,0.27054006,gjDngbypdro
0.09760069,0.123355344,0.26266935,0.15728353,0.12268302,0.03461955,0.105769604,0.17089872,2h59wJjQfiE
0.09930417,0.08032455,0.34344202,0.1097036,0.093472555,0.010551238,0.1710829,0.21320158,2x5kxEBrXu0
0.05060282,0.025826264,0.25160134,0.3240474,0.024290621,0.031357653,0.038001876,0.13410394,EzZzZ_qpZ4w
0.053710494,0.046416927,0.19489202,0.12686788,0.04345128,0.010134743,0.060333066,0.09926752,VfrekCNErqo
0.09101754,0.07501578,0.45057946,0.011183791,0.0464558,0.0038525905,0.098927565,0.29512388,QdXnsuJoNds
0.024234977,0.01621848,0.26643142,0.13091148,0.026861193,0.011314815,0.047494743,0.08666131,3hElJbz_wUQ
0.059751414,0.10412338,0.2944772,0.11659686,0.060460255,0.03770977,0.20885709,0.5389896,bAhNqz2CMQM
0.10191137,0.17736757,0.22306848,0.4287834,0.22645596,0.11665283,0.31748754,0.08502786,3l3hMeeVSI0
0.08052898,0.092771575,0.26572984,0.17204456,0.14415474,0.011731312,0.08458296,0.1273134,t5UyMdDjlxc
0.03262733,0.026027262,0.20627123,0.10651931,0.021530857,0.0063862763,0.026709147,0.041165587,wIBzU9d-nM8
0.044322684,0.032066055,0.20204428,0.18193111,0.026005127,0.0057615316,0.044701066,0.26028603,4cFjXc9g3ys
0.108884744,0.058750454,0.41405615,0.1260736,0.04540672,0.009648831,0.054800298,0.24519797,B8xQ_SpVUDk
0.053919706,0.045012966,0.25917974,0.18799919,0.0451377,0.020685982,0.061264284,0.11802213,NtYFPGc7Yf4
0.12694743,0.19013262,0.2783895,0.20097674,0.24920906,0.048525527,0.33669537,0.6041637,45-1YpPgJJI
0.09798125,0.06602899,0.36562967,0.024534471,0.073780276,0.00843405,0.0886135,0.40724158,Fal_3fFPHxk
0.089426145,0.07818628,0.34460184,0.07681956,0.06310292,0.033932835,0.09488133,0.34316042,zBZ6TaWvPk0
0.0754554,0.07588059,0.34387013,0.05268129,0.036883794,0.0057268236,0.021608198,0.19225766,Zyn96kb-34E
0.0724548,0.096842416,0.371035,0.06921263,0.05279929,0.0032104922,0.11064747,0.42563674,49RD96SY4OE
0.0973793,0.05675952,0.3288107,0.11734885,0.09068979,0.053335425,0.091067664,0.14092205,gD2CBKbB6w0
0.12135881,0.058442216,0.33729142,0.39553863,0.03646397,0.014160873,0.056310914,0.120913625,_nLdLmeuQRc
0.044776555,0.031833526,0.22826539,0.09061983,0.03133289,0.0068721883,0.025603432,0.054956656,x-qEGWvWyrs
0.092209056,0.0569287,0.37366432,0.0740294,0.02890866,0.0023254375,0.037413232,0.25519276,p8z0ZG1pFz0
0.2796334,0.16331531,0.51481825,0.04105219,0.24886157,0.035306264,0.15658352,0.2830679,wfyKp6iXUxs
0.12514298,0.10285082,0.2753009,0.12023003,0.055234697,0.015688026,0.07396305,0.21264772,HX0M4SXi68Y
0.1616071,0.202839,0.39784864,0.0905962,0.22846884,0.15001574,0.22313929,0.3723297,3kXWJs0voHA
0.22092909,0.1462307,0.42413417,0.097270094,0.10229223,0.018187003,0.12709662,0.27759433,L7yGqDOUKwc
0.15418302,0.116953515,0.35383597,0.09059829,0.12467719,0.008954669,0.11884563,0.4340113,awsqMzkY-Ns
0.14064553,0.07899005,0.36657342,0.12216506,0.044047978,0.0142302895,0.09294811,0.1794585,Q1pwSAEJ-bI
0.31125915,0.30165738,0.5586269,0.2046515,0.24484766,0.010690071,0.2120523,0.7586485,FPtZK7jIyDw
0.07764551,0.09052518,0.23639476,0.27772865,0.111346595,0.039598234,0.1368868,0.3108906,XaEKJ5Vv3Zg
0.13891321,0.09073064,0.24821982,0.13908881,0.050584275,0.013050216,0.0678743,0.1752194,O22bfnfihxQ
0.14381084,0.13632989,0.32960704,0.12965928,0.1851113,0.011037151,0.25355944,0.24367972,t-LD46nK6js
0.19202636,0.216649,0.30646643,0.1433679,0.1819004,0.021657806,0.14704378,0.5583032,P2BQ18bUCU0
0.061572295,0.050330527,0.37230432,0.27416474,0.06284701,0.027409043,0.07017538,0.22715925,_9FYDMOTOwc
0.03839473,0.03069636,0.25359964,0.29992077,0.023500841,0.12180476,0.03855094,0.23466426,p6k_yg-_vfw
0.03662359,0.0475527,0.18281406,0.18907365,0.078031436,0.025692256,0.06494616,0.16885182,MHFvC5Rm5Pw
0.099071525,0.07586621,0.37352946,0.39106822,0.12930967,0.011453647,0.115118414,0.29162502,kCAydcMIApw
0.13462657,0.09676004,0.23118967,0.18853734,0.05423561,0.028954152,0.07891786,0.2025306,rHKkHHKwvio
0.06161667,0.07144216,0.26126966,0.1892782,0.102787785,0.0471521,0.09557344,0.42131236,AKrAefjDIZ8
0.07488583,0.08180871,0.42323875,0.15886636,0.1393154,0.04543531,0.22627117,0.5336185,I_7rzoFzV08
0.12533173,0.13799798,0.27694356,0.008844591,0.054734226,0.014646785,0.04611643,0.10728717,xzGizKHZ-hA
0.24895972,0.1733366,0.4309471,0.032270912,0.088021636,0.016451603,0.13350165,0.2819827,B-JecXEcYJE
0.08258038,0.10113715,0.27460524,0.20556201,0.1257634,0.079307266,0.15312794,0.5381249,S51FtJu6iPE
0.069502056,0.05633279,0.31017333,0.07416389,0.061322864,0.007739889,0.070778124,0.14536345,1BSSB2zf2CI
0.1742504,0.23112693,0.49854162,0.012379914,0.38948327,0.058929358,0.30837846,0.39165753,dvtVi1wOaxk
0.094488315,0.0820668,0.33442637,0.5680319,0.13372046,0.07211506,0.2978912,0.27308,g2qfsrvBvkI
0.122244366,0.055351086,0.35515755,0.121699765,0.04347036,0.0129808,0.08896697,0.14024502,vs7BG4lH3m4
0.19070697,0.15605631,0.31040916,0.15820776,0.12224456,0.011800728,0.121242635,0.15774767,6yEqB3gakvI
0.11581173,0.10460302,0.37062046,0.02616627,0.08770213,0.052935857,0.08681093,0.08555838,Qzi7pPtUl2c
0.07362164,0.058425806,0.2281364,0.17354341,0.052748755,0.019158829,0.11529431,0.12193865,hrQulNptLXA
