PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.13275976,0.29934412,0.08940695,0.07646741,0.051803563,0.45524612,0.22952124,0.05912139,mc9AgfGp_Pk
0.21306369,0.43380964,0.12540467,0.10607363,0.12154824,0.4614868,0.2945986,0.115666956,LoSjdYS-FLQ
0.207481,0.48291782,0.079486765,0.077071145,0.057836134,0.0129914675,0.0040434846,0.057715178,sPSquZmmxHM
0.1036103,0.4535506,0.058222376,0.056723222,0.045007307,0.18590549,0.067320265,0.033759374,8ODd4vZJAHc
0.069310285,0.25461838,0.05947144,0.047266405,0.041077204,0.18582271,0.0050326632,0.053106576,ywbuDTpCPxU
0.09194253,0.32693326,0.10721716,0.1761437,0.17323516,0.08448387,0.043718524,0.15936854,yll-_ghipIY
0.06670258,0.16805066,0.039598998,0.030932574,0.022136778,0.17739935,0.016798683,0.035636835,GZ2Fl_P1JK8
0.11692267,0.29655775,0.07685878,0.0869423,0.061350275,0.1307967,0.22985287,0.059402786,OZVx4N1n6zw
0.23781712,0.3161031,0.187551,0.13179076,0.20036682,0.17727397,0.031529333,0.3135519,6s1bphThQLM
0.06670258,0.16805066,0.039598998,0.030932574,0.022136778,0.17739935,0.016798683,0.035636835,cXkR17XRrzE
0.07482754,0.28984007,0.07207185,0.14560843,0.08036113,0.029287789,0.0007028375,0.10277468,zf7kDRrLekc
0.061435066,0.29866123,0.028357662,0.10303629,0.4988096,0.80792975,0.21980777,0.048279945,I-NLbyaD11A
0.15092872,0.24840695,0.07973751,0.07606,0.07891762,0.17179391,0.010551238,0.09677474,2KxbIfvGxkA
0.07839347,0.30262944,0.06850899,0.0786085,0.075902194,0.33597302,0.036679696,0.06526514,kVBVD6QnOSQ
0.03689607,0.34595636,0.023829361,0.040607065,0.041283976,0.3312129,0.10699297,0.017565751,oTPaX7qdWmI
0.2153487,0.2403957,0.19808026,0.2690764,0.2043305,0.12508832,0.08367105,0.19813396,a6v-tOTv-pA
0.2399715,0.30694363,0.07618446,0.26078004,0.10008683,0.17962071,0.1250247,0.12272873,kKy8AaDW7bs
0.14133207,0.26237553,0.17508842,0.1378056,0.32521483,0.1618369,0.17957193,0.4146128,CUIODOnUwtQ
0.1432672,0.4143029,0.09551229,0.116006285,0.091954716,0.0067925844,0.065721996,0.097452916,f6SHWl2dJcc
0.151168,0.43497628,0.07592956,0.11437213,0.24428572,0.4369812,0.355017,0.09997627,2iiU1Bfyvts
0.07794422,0.16286628,0.049691744,0.052406993,0.029265812,0.22844966,0.027065687,0.03725218,3SP3BqaW7SQ
0.107814744,0.28459042,0.087065175,0.029138928,0.060273547,0.019411223,0.022074303,0.11753763,mnWudJ1YSFc
0.16336751,0.1782862,0.06498854,0.48610032,0.17877124,0.49645194,0.30053464,0.141622,gGBpk7K9i-I
0.22087832,0.33024052,0.035648514,0.04412268,0.06165817,0.122928925,0.08689302,0.012655005,ygAoxtswRfE
0.17256139,0.24991219,0.14460295,0.31765905,0.805949,0.406564,0.4254099,0.4378866,CgJlMSjPYdU
0.047647223,0.1421045,0.031030277,0.01711357,0.012068262,0.17739935,0.030670939,0.021903075,XX3FyHzRkTk
0.24346983,0.3921311,0.0706373,0.1203522,0.07859435,0.3837031,0.052935857,0.06506497,FcHtXMDfrQI
0.38891706,0.39361238,0.2876237,0.28692952,0.7885105,0.4058237,0.4945446,0.40393046,ii6reCbVTJI
0.074097276,0.19791104,0.07403013,0.049308132,0.033159506,0.124322176,0.052136723,0.051963944,46KpoOht5cc
0.105056636,0.29081377,0.07228893,0.036961738,0.025276488,0.14676307,0.05613239,0.03820921,0sCN_W8Mbpk
0.45672533,0.3877465,0.07957041,0.19924793,0.12959638,0.26383093,0.1884524,0.120982826,eIJak1bmaT4
0.06794327,0.27626607,0.046362843,0.048319034,0.022848785,0.014276135,0.0069763125,0.032080542,F8i2L8VZHzw
