PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.18466265,0.12674786,0.103896655,0.11125359,0.037194733,0.4801615,0.39475572,0.11971421,Cb6v1hJiSW8
0.3937818,0.034485277,0.03619675,0.06617851,0.03049926,0.24535972,0.10785636,0.047599744,PDeHt-xJmUY
0.24473907,0.09573817,0.11801155,0.109752715,0.05613239,0.2655722,0.115303226,0.11908471,_yPvbUXVh4s
0.18667792,0.033843685,0.018927895,0.029038725,0.038053125,0.18123847,0.062273268,0.023387546,NLErwA0-Zf4
0.19122447,0.061744582,0.04173169,0.07332375,0.05493369,0.27656788,0.2679772,0.067993976,qSG0kjMxVE8
0.15492156,0.06221381,0.037664562,0.12281169,0.03616466,0.46279296,0.1223372,0.049949117,aQ-9IXLWH9g
0.09988025,0.090291634,0.11322776,0.1533186,0.020408317,0.35044324,0.32044408,0.16740048,jCMmkO6eW9Y
0.26194054,0.1421821,0.09044101,0.075569145,0.21804169,0.5014575,0.33096534,0.070996724,5N9EEH_iDXU
0.27824333,0.030819077,0.054242607,0.11294277,0.059328925,0.34199005,0.06343577,0.13292632,3Mv3Mzq5Wm0
0.18073662,0.014993687,0.01329188,0.01930019,0.02792408,0.18708779,0.037423197,0.011295669,T_rb3iBp1n8
0.18191858,0.13547975,0.10536678,0.109030925,0.118584804,0.41959608,0.16255434,0.08353221,NL-TvECwXcg
0.06998927,0.12821469,0.06349053,0.06700674,0.019019997,0.39715862,0.228001,0.067837656,IJqotxOkgfQ
0.25373644,0.029414685,0.026694002,0.03859443,0.043375164,0.22620122,0.080194436,0.031904694,6bQXWtl-JNU
0.2801114,0.023408992,0.02419707,0.042298745,0.0055532837,0.18845966,0.052714024,0.030585712,NPsMdM1MsyY
0.13665402,0.1762244,0.16362609,0.053765513,0.012425472,0.3596519,0.4194776,0.09814872,d0qRgvyk7bU
0.085283585,0.021265222,0.020085415,0.05408548,0.15976663,0.2808511,0.055443443,0.031601474,IAcbCC8VgJ8
0.1378135,0.1551607,0.15824412,0.15448575,0.029640866,0.46518248,0.36431876,0.20243664,A6e-ulFx7_I
0.018133007,0.0442482,0.04190798,0.13876577,0.018325835,0.369887,0.19373447,0.10471939,2uQjMeL-ZAA
0.1941842,0.1981729,0.13746752,0.09399619,0.08290337,0.2893749,0.39589188,0.15139478,FMPpZTTd0DI
0.18549386,0.028252158,0.021695761,0.058072995,0.04234509,0.24184659,0.19945017,0.0620261,fwUr162XYFw
0.18138498,0.011968929,0.020227343,0.029808946,0.025005542,0.34166473,0.049857087,0.0147295715,7mNH5PC8Adw
0.13025133,0.017957233,0.017546557,0.056338772,0.024147147,0.35091573,0.050678413,0.021830982,BK7ojj5H72A
0.028928822,0.26594973,0.2753122,0.15681739,0.16620636,0.2918169,0.25914237,0.2081852,W0GAUIyupdU
0.37590608,0.029040888,0.024024876,0.045687046,0.045778666,0.2347238,0.061250247,0.030279055,W0W00MaCDBY
0.18734083,0.055591874,0.049684964,0.16030972,0.13700475,0.49080124,0.3098689,0.062074717,f9xM1-CaNdI
0.14440872,0.10731493,0.087531306,0.13651103,0.0112454,0.5110705,0.49427772,0.13943543,cKPKkGFdyCg
0.08471357,0.0637104,0.037955914,0.04983465,0.08501353,0.31846163,0.06266079,0.036331903,h_JKMVCEPDU
0.13639508,0.057601593,0.09749965,0.08414095,0.3282253,0.4557226,0.22159453,0.0646868,ZjeYmFErqfs
0.2448523,0.03331133,0.033093866,0.035852134,0.021796638,0.31272644,0.079711035,0.019808998,Yc4XJ81f4bQ
0.27032703,0.10544979,0.14176536,0.109534234,0.008677006,0.5050233,0.43444094,0.11444276,vWBjYAYlZ4g
0.18422635,0.18088755,0.24222797,0.3833894,0.074912034,0.51559573,0.38613635,0.34321764,iwnZsk751FU
0.049896687,0.05742652,0.045337558,0.02805678,0.06132676,0.29595527,0.14420353,0.02551822,QvxAa7tlTMc
0.20025834,0.029907957,0.025700238,0.02884336,0.052935857,0.30859876,0.06415469,0.01920518,yCzWwcioiho
0.4446108,0.021396784,0.020253055,0.038288526,0.12309273,0.2294767,0.07682316,0.021155903,oG1pY7EVK7s
0.52119184,0.17012763,0.104741074,0.06512714,0.09172598,0.3184035,0.16432671,0.09225691,sFAhrsKYnhQ
0.18088356,0.04483152,0.13252988,0.060427617,0.22157386,0.434568,0.29153565,0.06954467,5MfJiJAnG-c
