PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,video_id
0.09862282,0.036679696,0.14343745,0.3366467,0.63138074,0.041158073,0.03519178,0.07288024,ckH0RDVueo4
0.055758182,0.043375164,0.13732044,0.32234693,0.12883866,0.12587632,0.0595733,0.0483909,VxbrlCzthec
0.05101419,0.14014533,0.09361218,0.29461148,0.17883809,0.024728218,0.032953028,0.120946266,Uixa2JtNCUg
0.08372682,0.028439116,0.11847568,0.29644406,0.17750844,0.09599773,0.08165417,0.0634643,fF4ZbTvyjbg
0.0935931,0.0009501321,0.13645443,0.30897045,0.08124086,0.12910955,0.082927965,0.06261397,P7tta7OKJSk
0.24302267,0.04680874,0.13862158,0.26716998,0.39519918,0.120941944,0.09200519,0.1175882,2vmrvyMeLmE
0.037880763,0.0006247444,0.16743478,0.35583416,0.2568379,0.06826276,0.044115607,0.062066283,ami4y706qvU
0.019884551,0.018742332,0.031420454,0.28159907,0.16132061,0.02750829,0.01560415,0.030401802,UxtSSbXiYng
0.022867342,0.010412407,0.17830421,0.3892819,0.12499351,0.054663315,0.034838323,0.027283618,89Q8OK6p9aE
0.027531935,0.043031808,0.08470188,0.2609162,0.2126939,0.069513395,0.04248329,0.0263685,YtqIpWMezGw
0.11883972,0.026894007,0.114552535,0.38087207,0.30562636,0.11641977,0.07183264,0.05993492,b4dLYd2E-_c
0.0951752,0.14822112,0.081088394,0.29615316,0.43673798,0.020184128,0.035131507,0.11787345,BbCmq0jPUxY
0.049100198,0.14059398,0.08981685,0.5316507,0.4694252,0.19526736,0.15874074,0.18066314,phH2lTDAN9o
0.1266255,0.14193995,0.33072188,0.22279559,0.3421901,0.035202377,0.041626286,0.085365474,RD_f8UhNtLs
0.06807338,0.03753809,0.08373918,0.33380824,0.098937996,0.055357426,0.053765707,0.17534342,nYd9EkZadDw
