PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,video_id
0.111482225,0.64913636,0.36161315,0.63036793,0.33335415,0.35227737,0.29534844,0.16286367,WbDGBueVyH0
0.12895109,0.739415,0.3051005,0.18984444,0.32916668,0.27194336,0.34780324,0.19013295,7Ri8PK0oaQE
0.07947758,0.15572684,0.13191943,0.06353397,0.5005097,0.2015616,0.1108139,0.2631957,Ow3bMlScrzs
0.0861269,0.03137865,0.031541817,0.07791088,0.39829594,0.0495556,0.03878082,0.070350006,0xUucNrRm50
0.03731423,0.01808903,0.019938929,0.08211264,0.30525365,0.058130227,0.020870946,0.058884576,iFonEHwC65Q
0.07889671,0.15901527,0.10007255,0.38011283,0.43145004,0.4292556,0.07897748,0.141107,7smBbfatPcc
0.0832188,0.046283208,0.05456078,0.084524326,0.48914635,0.089577995,0.039897714,0.109057344,GsdmadM6PxE
0.06352132,0.10622728,0.17608257,0.15425238,0.46663168,0.0224908,0.08806977,0.5717313,BgYzOLQ8sU8
0.047750954,0.06526199,0.1066206,0.62936455,0.26815903,0.046122026,0.043224886,0.0879173,paT_ceofN0w
0.19924374,0.24154955,0.14992943,0.1419423,0.45916858,0.033074442,0.28058815,0.5709548,P3rAwhxIVFQ
0.06038266,0.025607921,0.025939876,0.23740962,0.32637224,0.040628307,0.029112818,0.055342447,ThtuOF3ymlQ
0.039231405,0.019173676,0.025410803,0.07579473,0.16790736,0.019158829,0.029206358,0.0668914,M3oWYHYoBvk
0.08545599,0.09377348,0.04625234,0.12010305,0.5261622,0.26589394,0.06074286,0.13009198,CQnyF5l68i8
0.060712986,0.040182617,0.08050941,0.019252593,0.4270769,0.036508016,0.056014836,0.18086025,X_93Z1X0rbU
0.05554584,0.09241078,0.060509086,0.24919479,0.419612,0.31671798,0.05467216,0.11746173,gxGViD_pF7k
0.042506877,0.017678581,0.0253467,0.29481095,0.34287444,0.07091636,0.020121647,0.08363261,QIjASllDEu0
0.056785576,0.02823028,0.047721136,0.1584018,0.32063612,0.12180476,0.03327134,0.09726819,7Ju4sEMqZmM
0.03441698,0.10170951,0.06161775,0.2864763,0.3320817,0.09816993,0.035586137,0.22694534,ysdw7cmigZM
0.03517557,0.045121945,0.04808427,0.21776143,0.35884583,0.27690583,0.02821861,0.07424242,Sye65WIweOE
0.15756845,0.19856593,0.23624207,0.18472067,0.53154576,0.14687516,0.20448022,0.5306402,aFqhMWLLSyo
0.0648876,0.035891376,0.08807408,0.06894826,0.43475166,0.02655065,0.029988118,0.13562872,gwoGVWgK8v8
0.0268944,0.027735885,0.035803117,0.2788097,0.24154347,0.022945397,0.022117555,0.06688911,-PcRvYyo41o
