PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.07596443,0.2026749,0.011175984,0.31423894,0.12409988,0.07490273,0.5402037,0.16313314,4wneZDEB3VA
0.035251554,0.07958429,0.018881164,0.16390654,0.083510965,0.28546923,0.28507942,0.06395605,loLEqvaQ-Wc
0.052900854,0.093638,0.0039220066,0.2793877,0.064420484,0.22623383,0.3390504,0.052193213,LBYCP8F4NoM
0.04939005,0.07246769,0.017770508,0.092823185,0.061511323,0.11929138,0.23630111,0.06806222,x6f5JOPhci0
0.04545918,0.031004384,0.024147147,0.11104172,0.03905251,0.20380978,0.16397732,0.05424922,7EVrtPlVtpc
0.074506395,0.16861208,0.0055185757,0.08870581,0.11840268,0.30392224,0.39799905,0.03753392,QwVO0Xh2Hbg
0.04011997,0.0434714,0.016451603,0.14046748,0.049362544,0.110263646,0.25931728,0.10039456,_RPHiqF2bSs
0.0478626,0.1375961,0.019575324,0.22696851,0.06357189,0.01929548,0.45238772,0.06507085,TF1yh5PKaqI
0.102491245,0.09772435,0.010967735,0.33971643,0.09060254,0.27567104,0.32262126,0.12672187,WdTeDXsOSj4
0.04069914,0.079163454,0.003262554,0.08571832,0.06995918,0.23242594,0.24231854,0.09078278,YhXzUZGKhIY
0.07914156,0.1616696,0.004581459,0.3575607,0.11332553,0.08692613,0.5184339,0.09643046,DooxDIRAkPA
0.018997515,0.039535943,0.00631686,0.05113063,0.021315033,0.19270574,0.25494912,0.017784895,Ig1nfPjrETc
0.0716186,0.08552295,0.0253489,0.33105075,0.08642084,0.07902369,0.2585905,0.08447662,4hlSztfaqoI
0.06537567,0.063935205,0.011384231,0.14079869,0.05281379,0.006174107,0.35992292,0.053189073,qFJeN9V1ZsI
0.04568272,0.094811,0.0131890485,0.24498631,0.057639025,0.19615155,0.38566345,0.031516038,VqKq78PVO9g
0.04697567,0.05682168,0.013050216,0.07545767,0.0441546,0.17291664,0.19364661,0.05250382,pJvG6dr1sQQ
0.034063686,0.041107178,0.015132698,0.050435103,0.027723707,0.14731209,0.2869314,0.021251565,p7SXrrYOaME
0.031701792,0.03531682,0.021657806,0.19904926,0.037821397,0.09362366,0.22477005,0.02661173,XI_nwAu5WUY
0.12274543,0.13677922,0.007739889,0.24282059,0.11050666,0.17506076,0.35805538,0.13319957,UehuI1w10lg
0.07202258,0.1366879,0.007878721,0.11416774,0.08775128,0.15719642,0.3708396,0.057197254,VvTYuQPINec
0.021272752,0.03465903,0.020269485,0.07510108,0.024213377,0.2661525,0.21612865,0.025014061,TETylrdoSs4
0.07639723,0.08090832,0.011523063,0.13033736,0.076489545,0.2668281,0.39207253,0.05770027,gb_C9LcjDSI
0.036486693,0.029885469,0.0019783573,0.30535105,0.03426467,0.027104337,0.23461175,0.10307532,OEoU9k5hApM
0.01729394,0.034570698,0.0072192685,0.05777214,0.024988284,0.26343495,0.17740272,0.02295284,0ZSLRLMaDN4
0.057573367,0.10953961,1.3828978e-05,0.28077248,0.08183745,0.26561436,0.3618711,0.06401372,7jVKwYQdKww
0.09955965,0.15591834,0.0002906797,0.25818902,0.1204929,0.012082193,0.2464756,0.20674191,Z27llwBA0Uw
0.04475223,0.05294249,0.011800728,0.2604529,0.05858159,0.037142344,0.24367242,0.065660134,6dEUTmoXz0w
0.04820799,0.06524486,0.004963247,0.32670182,0.079313934,0.03172067,0.23549485,0.056495443,WtWxOhhZWX0
