PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.24724633,0.023188591,0.057075977,0.014716201,0.03157765,0.035958026,0.067143075,0.3094226,5QBAUUYkqkI
0.35065913,0.046871528,0.2531011,0.016729267,0.050609548,0.05853335,0.100709505,0.26217237,ykH3LD6vTzc
0.32515407,0.11605084,0.30716607,0.044405237,0.052363597,0.10547439,0.11706106,0.18374963,tr8LpByJROs
0.29709435,0.047338445,0.5107607,0.11665283,0.10117248,0.02649646,0.09452915,0.4416453,t3fku8lTTz8
0.1889373,0.033552147,0.044170856,0.05773066,0.08084214,0.024907688,0.0974712,0.46607068,dfF6ZHsAHjA
0.4119141,0.1423165,0.78865194,0.2022951,0.31419748,0.061618023,0.41125244,0.19942527,UQZ5-eYObt4
0.34797263,0.030037263,0.11403137,0.016937515,0.03865023,0.051246542,0.0871874,0.10630764,T84qEvD96rg
0.3404673,0.041529443,0.41712207,0.0131890485,0.05947244,0.030093823,0.18658127,0.05895773,bkBeQAnAiXY
0.39719835,0.15917467,0.85096425,0.14508054,0.18370724,0.047258914,0.394682,0.13511445,XGcDbo9xMaA
0.23046423,0.058400426,0.13969477,0.017701091,0.058221385,0.064695396,0.10336474,0.26874024,_DTfE7EtSIo
0.6378866,0.07889638,0.4917497,0.032902762,0.09138991,0.14131919,0.20143886,0.061983615,Apuhj_G90QQ
0.2610833,0.07344724,0.13164459,0.076110736,0.06156366,0.08045643,0.12217836,0.19642827,fl1DvuOI01U
0.22364128,0.026548216,0.070879236,0.018187003,0.032827117,0.030569343,0.058824196,0.10101337,6ke2leudWEo
0.19521487,0.033238415,0.07404492,0.0100653265,0.04905717,0.026309762,0.12017533,0.261444,b0YqtQ7J5Sk
0.2722673,0.00753432,0.03097622,0.011870144,0.0069735283,0.026901823,0.008370344,0.15660603,3ups2fybp10
0.22003448,0.01948103,0.04443491,0.0048244153,0.032017943,0.01812006,0.040523045,0.18957175,QMLgRYB8hJk
0.44358435,0.09193614,0.40446398,0.038911518,0.057004344,0.08971881,0.10903301,0.30632746,5C73JZv2Wpw
0.46406308,0.31842276,0.8763936,0.10515087,0.2446756,0.21213822,0.48545262,0.15856996,5PzrrT2M5sM
0.41598678,0.04137096,0.2525193,0.026722329,0.039689064,0.050551143,0.0646758,0.2121628,hZcBYnT1yQA
0.32912073,0.14756866,0.60188216,0.16620636,0.16326286,0.18966465,0.3110129,0.4368403,JMUMJNBwI5o
0.3489961,0.18401428,0.63562787,0.19338597,0.11159729,0.15155971,0.16410433,0.36135486,B-yHStTyojA
0.23175134,0.06511545,0.34633234,0.09065199,0.08823637,0.03955309,0.13626853,0.28988472,Nd6oPaEXajk
0.4143323,0.04470244,0.37846008,0.012703137,0.05587205,0.041397512,0.17809138,0.07243858,s5mi1b8ekqQ
0.28359416,0.06713923,0.46106166,0.09065199,0.10678541,0.029091205,0.14762267,0.33060876,Cq6aRHzmGdg
0.32139432,0.029013922,0.28742003,0.0741129,0.06416237,0.033767045,0.1393302,0.26392695,HiftV8AZYDk
0.35156855,0.05104979,0.097922064,0.010620655,0.057677194,0.059759434,0.111525886,0.28654337,vuTYHctfF5o
0.23507383,0.028920114,0.0538017,0.010481823,0.029891506,0.030668365,0.049384765,0.13501766,OVq9SFwSmao
0.30876926,0.107464425,0.81082207,0.19634613,0.18831164,0.025658203,0.21036121,0.41743037,qrdgzrK35pg
0.31903565,0.22173473,0.7856371,0.25219622,0.19920805,0.13572867,0.31342983,0.5680319,7rwm_MH6coc
0.35830107,0.037783135,0.38552275,0.0129808,0.055733826,0.027271241,0.17103112,0.06392278,Lydujn8BEiE
0.3552059,0.04130088,0.41655365,0.013466713,0.062485013,0.031513214,0.18520734,0.06726525,M6kBLvX5yro
0.2189002,0.151772,0.82345974,0.26589394,0.19581263,0.023629714,0.25725523,0.56564623,9acXA2_T3V4
0.39255825,0.22545442,0.8763936,0.16827796,0.35698262,0.07081005,0.4182675,0.18152894,oTEfF5_TrUQ
0.30724138,0.041600093,0.19529256,0.043031808,0.024458146,0.043764714,0.06527873,0.1847505,m0jkhUbSa-c
0.22148854,0.037301753,0.06730006,0.020130653,0.03328252,0.031569283,0.06939743,0.14879815,oXInE9JuvU4
