PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.06424621,0.05874622,0.05901632,0.07859733,0.06973711,0.19726261,0.06771983,0.18017119,fgnQlyG6y-g
0.040565345,0.0492608,0.077315845,0.07689431,0.056746893,0.25091285,0.03616466,0.02821828,8zIx0Nn7CNA
0.03259679,0.030393064,0.029938465,0.068035506,0.046666123,0.22016229,0.013536129,0.036407027,ohl3ZBCGoeI
0.09207969,0.109531574,0.13070548,0.14989033,0.08932802,0.3316215,0.040971663,0.05748823,6u_HX71ca-A
0.08539175,0.08424737,0.20068774,0.32362676,0.118723966,0.38673058,0.043375164,0.1687526,KmYa5IAxAfU
0.004887401,0.0061402903,0.0042639337,0.0326419,0.019024294,0.2864481,0.03753809,0.20715937,sl7sHwhu6pA
0.10710367,0.06387593,0.076274104,0.5906937,0.025553195,0.19995974,0.18647896,0.39514223,D06gGT-pkiA
0.02550246,0.02946487,0.015266848,0.07574628,0.054160286,0.34361023,0.008850546,0.039550383,DzZN3rmN_IE
0.28652963,0.16866618,0.22502625,0.75787187,0.14540808,0.50417346,0.090114996,0.03730856,zf1fL_mah84
0.05445223,0.040199798,0.03819367,0.081919186,0.08040207,0.22448458,0.030670939,0.14676149,EZcAT1uq1QY
0.12025369,0.10961209,0.111929126,0.6092432,0.06974018,0.30704623,0.0717155,0.27552146,XT72CgEJQNQ
0.06634176,0.050848097,0.043616064,0.09055702,0.061322816,0.21157424,0.021796638,0.13022612,GZ-k3oblIM8
0.15585384,0.25077668,0.20170711,0.33025804,0.114037104,0.5235499,0.21539254,0.0052635795,rMkC6MeN5gU
0.1617626,0.119495295,0.18920018,0.7511209,0.08230695,0.30324432,0.1423886,0.3038716,iq3KHu7ibLU
0.093418844,0.07731189,0.09675458,0.53333366,0.023331296,0.23239273,0.09924392,0.3908301,haHEZ2gA684
