PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,video_id
0.06255469,0.4850507,0.099395394,0.259512,0.05493369,0.16699468,0.090888284,0.05261931,fKB7BIAApLQ
0.05305439,0.38146734,0.053057596,0.17134835,0.0813051,0.14897583,0.08453592,0.43668368,hycank4AxBo
0.12977755,0.5803334,0.09186093,0.3673061,0.27359754,0.36033615,0.13406292,0.60832864,0pGxFlonJAA
0.020282347,0.23686367,0.02189292,0.06552345,0.0018482022,0.07229318,0.045323227,0.076051235,FL9CCZFuDFY
0.16599926,0.23210372,0.23362476,0.20631632,0.24769363,0.07868772,0.13595219,0.4992633,RLoO25d3dic
0.07901762,0.33358124,0.17808343,0.38730443,0.1689685,0.1610067,0.10250563,0.16288602,lIUexiLQEcg
0.040025696,0.33212906,0.098881304,0.09151338,0.023803791,0.055511378,0.03590474,0.31462932,5ncs_dKFeno
0.01660651,0.38142446,0.01704874,0.062641695,0.0136749605,0.06897313,0.032070044,0.094780445,COJtsPdUbCk
0.09545588,0.3014379,0.12050732,0.1456527,0.12953265,0.06799204,0.08046756,0.07380345,6-0e1Br1ctY
0.077257805,0.17670092,0.15119389,0.12252396,0.1539292,0.03959721,0.063601196,0.25012118,vxLFhzYq7rM
0.22178249,0.6085394,0.29495096,0.40393487,0.13082063,0.15738338,0.1642274,0.04085143,pK4vTXhaUWA
0.068637036,0.40015575,0.09801757,0.12843996,0.14418322,0.07253399,0.052587833,0.26741466,sW5TRGcJnAk
0.04623812,0.36958054,0.04920537,0.06049002,0.015340946,0.03940843,0.029275322,0.14119653,bsUuQz4llMM
0.23943388,0.4698257,0.15780927,0.25670588,0.14104263,0.124596156,0.17485867,0.010525752,DwgHorgDPGo
0.07831444,0.32440767,0.118275315,0.5254081,0.055333257,0.07560483,0.08275999,0.26398245,j2q2mD2HaKA
0.064430185,0.41018257,0.11258531,0.3556822,3.8775368e-05,0.14528762,0.10158115,0.046826724,3s-0Adk3fFg
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,xoOhlqvdW5A
0.11520329,0.27392164,0.105327174,0.21387321,0.05653196,0.10713702,0.13289674,0.4404486,u7yRJ8AlhdA
0.14212763,0.4501643,0.16145131,0.39771384,0.12953265,0.18469538,0.1844791,0.23511867,BG1uJQlMrR0
0.02491327,0.2972435,0.10875951,0.19024877,6.616217e-05,0.07293584,0.045349687,0.114168786,rBmROPo9sVw
0.030939046,0.22296354,0.04472546,0.08274529,0.011731312,0.057867333,0.027690848,0.019715566,nP3TNHPCIVU
0.039222278,0.24983297,0.059232075,0.07869155,0.043718524,0.030180505,0.026314607,0.07557127,-uOASVjn0Rk
0.0332658,0.27083573,0.032794103,0.090622716,0.17380224,0.08754681,0.049949523,0.22606605,edowrAzWQBo
0.07051515,0.23649345,0.13684173,0.15319824,0.12760067,0.04848533,0.054803487,0.14001906,kWOjXMLP9j8
0.018869795,0.19629118,0.021341288,0.054687873,0.020824814,0.058131445,0.046623588,0.14615047,efGQ56tTXqQ
0.16677992,0.44503218,0.33517078,0.40903464,0.17173064,0.15662399,0.18444033,0.15070568,NMRgGJFIo1E
0.04718287,0.30789986,0.070373654,0.11223691,0.0168681,0.06771242,0.056799583,0.13603322,23cLXWVzDtA
0.18031615,0.41026804,0.18450439,0.2133633,0.087430015,0.25597236,0.20985419,0.27596304,Y7GkQu2bjFc
0.07715982,0.30050057,0.13950525,0.11415414,0.03221605,0.14497927,0.09533629,0.5097777,6W9r7Ldz4zE
0.124442995,0.44328076,0.18587841,0.3230449,0.043031808,0.073394686,0.09716927,0.005000001,v8ZShe3Z-3k
0.1312314,0.41843918,0.07767196,0.3885191,0.11343288,0.20483021,0.2814474,0.48011795,CUzy45j7AqU
0.07876192,0.40436155,0.05132887,0.15826648,0.010481823,0.057896595,0.03839866,0.086222894,GGh0Zji0l9g
0.08734263,0.46099636,0.07060025,0.1664251,0.18055865,0.14092332,0.12439218,0.20024438,A5KRern3HNw
0.067128636,0.35674953,0.12258777,0.27650928,0.124380715,0.105314,0.07889187,0.15076858,dZG6KyehF4w
0.077998914,0.34307614,0.107688084,0.15185422,0.05773066,0.090764485,0.09345175,0.13538435,LJ7NezK6M6s
0.016422061,0.30185324,0.024739759,0.24281408,0.023632111,0.028542466,0.019143838,0.15342449,6Pa0vC-Zbso
0.063715175,0.7784964,0.11637918,0.28044772,0.023460433,0.12767328,0.09631004,0.07462351,7BkpjwFbzEI
0.1562176,0.42100346,0.2606543,0.70571285,0.16758743,0.15283373,0.168802,0.148129,a0FBIFAYRfo
0.04589416,0.17470817,0.05573753,0.11587283,0.019852988,0.03288622,0.04811638,0.10986951,KWaPq5caL6Q
0.06927669,0.23221157,0.10953948,0.4012926,0.035477944,0.051944356,0.07686937,0.03255748,bcUmEyfaKW4
0.064371355,0.3743071,0.048972532,0.17462228,0.064523295,0.055338446,0.047918987,0.13661978,bYlUSGteS4E
0.10725168,0.32134843,0.13256206,0.217509,0.12309273,0.124850005,0.10385162,0.049882945,LW2lzfW2qAg
0.038544293,0.2971265,0.07447668,0.11913028,0.0037831746,0.060117614,0.054764386,0.054436494,ieluHI_Wzlk
0.17713332,0.44016466,0.13783759,0.1712368,0.25676212,0.077387735,0.10299203,0.3119741,dXrT6h2oepc
0.20285481,0.30256167,0.24911706,0.27775678,0.22422299,0.1311328,0.15839703,0.18690275,7urdl_VYIaA
0.07650358,0.26797935,0.08568727,0.14514463,0.026035614,0.13541828,0.110446714,0.17226076,Sr40vTgoSEE
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,wSNYF3hIAzk
0.020114332,0.31162822,0.034495782,0.08344288,0.0066639404,0.06193405,0.02734366,0.07428729,Mos_OXZxdhI
0.0655998,0.37141165,0.11371593,0.2430491,0.15918289,0.06955379,0.08593094,0.09386868,90A08NMOTgU
0.01755353,0.2523033,0.037986767,0.21103695,0.0064904,0.038378358,0.03470666,0.16744892,QM_fSkbjb44
