PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.11481378,0.12901162,0.14879115,0.314991,0.3617688,0.093848534,0.3897707,0.10650517,ak58fSBBYKE
0.14271356,0.08456443,0.20006295,0.07904872,0.40615782,0.06830617,0.014716201,0.13231173,nO3fVMzvDrs
0.09425064,0.056304354,0.14459275,0.09927374,0.3517623,0.054319754,0.045091953,0.07613267,2mkwIgukTuY
0.099429406,0.39022887,0.47526515,0.27771372,0.23966135,0.2859398,0.29261994,0.23605907,X13iqiXRG4k
0.089520164,0.047499157,0.09229179,0.07812029,0.34694812,0.041055184,0.061726328,0.052399643,PlqWX_cv7bc
0.08611225,0.20006798,0.110328734,0.120457955,0.28824413,0.12758338,0.27194336,0.09323031,sZtlc1t7x9E
0.089978084,0.08117411,0.14604601,0.14869863,0.29121152,0.07499944,0.04406188,0.085841455,3oeimlA6s68
0.08782668,0.045021962,0.109602734,0.09640272,0.22561596,0.051554605,0.0020824813,0.06354775,U_Y7Pe0Wi74
0.2120188,0.057862,0.31366128,0.22666174,0.3684847,0.09666647,0.24418297,0.15909366,3zl1_XGgDVk
0.1149428,0.03973008,0.27967235,0.060975622,0.7963349,0.063329145,0.016243355,0.10297606,StBxsDojk70
0.16452894,0.14825992,0.52856696,0.14406629,0.43404254,0.17443693,0.20816301,0.17848444,7nIOqf23Ec0
0.1289767,0.24444737,0.37484357,0.16076419,0.40958187,0.15678144,0.21109697,0.17046289,TqXwI1MWZks
0.13592033,0.11586349,0.22772835,0.1835709,0.3196909,0.10278833,0.019575324,0.12411224,fpK5VZCwJPY
0.06994949,0.023939513,0.081013985,0.052421723,0.30968058,0.03201029,0.0753116,0.036201414,Oa-xdUN3x08
0.14106965,0.035839736,0.21276663,0.19003274,0.3503944,0.06346606,0.05613239,0.08529072,k1cLRd7cahQ
0.0630534,0.060569085,0.23719245,0.15224496,0.33818978,0.058422025,0.009440582,0.04866612,bkHuvrLxpUU
0.4741845,0.23287912,0.7824289,0.32611063,0.5448329,0.29093444,0.2008281,0.3027994,4hXKEfzKYdU
0.15793645,0.039287984,0.17731874,0.12640679,0.34039104,0.07564666,0.059328925,0.10471124,l2AHpn2i7_Y
0.056844514,0.04671075,0.11585276,0.03385557,0.3390643,0.025950318,0.12631269,0.037984677,Z_dgrjRlD_4
0.38077158,0.13512386,0.47714138,0.06731177,0.6688546,0.16545096,0.07131593,0.18319461,62tEuL1FOtM
0.081703715,0.03000391,0.083629824,0.057463173,0.34259635,0.029365033,0.10699297,0.047163684,f0lCIn461co
0.1909121,0.07038389,0.2532202,0.06575061,0.44439676,0.08642091,0.16551583,0.16389707,t0Za9A8f9uA
0.051191017,0.042295422,0.08861807,0.18143684,0.3072896,0.040002834,0.032387726,0.029502936,Bc6G41KutHE
0.085289724,0.1039726,0.1475621,0.08023407,0.39486322,0.058831457,0.039254878,0.08372943,FOVHXpAaCk8
0.04570983,0.024197929,0.09984569,0.04265613,0.34330374,0.021060495,0.0753116,0.02827529,URtLwJC6gXk
0.1676453,0.054301783,0.20905064,0.02153529,0.4177083,0.06423584,0.0069763125,0.14206645,v_zGx8seH_Y
0.1572124,0.057784423,0.2597319,0.12183529,0.3245616,0.099161774,0.089577995,0.1372106,WcKW8h1Plec
0.10279626,0.13199702,0.3148026,0.25155059,0.3263728,0.1319781,0.027065687,0.108751744,IrA9dvgRKR0
0.20463979,0.32338038,0.7820813,0.24176879,0.3350819,0.48014343,0.22333995,0.25424016,Th97oQ4eF9U
0.087378815,0.02834871,0.097219564,0.10221611,0.24153775,0.041331396,0.01721518,0.055637136,-Xet6BIhtPU
0.12520978,0.0958524,0.4042117,0.28983405,0.402891,0.14410993,0.045091953,0.12514514,QKCkO9fy9O4
0.37991077,0.35622507,0.760635,0.012994605,0.4371617,0.6690063,0.0015878921,0.385269,3LlvMrjLar0
0.06763973,0.055142224,0.1691946,0.14734244,0.31686163,0.049499005,0.043718524,0.04421339,JqYPJtSMHN4
0.12034405,0.19388908,0.14931522,0.09036552,0.3512434,0.13068202,0.089041,0.13717064,fhWf2OJ5qiU
0.38731092,0.4716532,0.58324516,0.006264569,0.6747011,0.23984365,0.14508054,0.35512117,6LVoW7Bkw1c
0.08561408,0.034414124,0.07516122,0.051323485,0.32584715,0.02891851,0.04818217,0.044212215,6zaU5AQsyDw
0.10591961,0.078954,0.05592403,0.107268326,0.4997327,0.023046749,0.10828095,0.08298547,cZsGukYkLKw
0.12993595,0.10985779,0.16048117,0.3424951,0.2791379,0.114792936,0.2752517,0.13251139,nS_wQV0LjjU
0.12600301,0.07700676,0.4335583,0.05462258,0.39395773,0.11724259,0.15276173,0.16354579,MrIf68WxkuI
0.08619927,0.045528654,0.10076501,0.1948814,0.3280864,0.050941948,0.119872786,0.062435538,p5xwSkcySoo
0.10528182,0.029961864,0.07712259,0.052465413,0.2750261,0.030613735,0.0090240855,0.06568312,L1BeGwFoNqk
0.094780885,0.015251703,0.06195864,0.09494098,0.41179693,0.022656158,0.035649624,0.02438913,Z78l81is7lE
0.47391188,0.6356477,0.56112915,0.08996331,0.39041445,0.3458765,0.5049312,0.55872065,Jnkz6q39Dlw
0.07882289,0.024644168,0.089023925,0.12087627,0.23110472,0.035949256,0.17587385,0.04910497,ZEo9SjuUqYY
0.060761336,0.022900613,0.06678297,0.05987449,0.30099496,0.028864104,0.044748597,0.0348096,6BdAAc5N5x0
0.07588674,0.08491751,0.41923696,0.09699536,0.2532952,0.088325955,0.028267438,0.09800113,3jynwku8QpA
0.076349474,0.05012832,0.16084485,0.17716558,0.27635378,0.060241617,0.0801064,0.056212567,6TmQiugy_qw
0.059761673,0.02854951,0.06288207,0.06306595,0.27059254,0.0268498,0.1473238,0.039891165,s6dIsx6j4AE
0.06363569,0.17872505,0.6426244,0.43827105,0.36461484,0.1080221,0.052136723,0.104928836,c6VQvQJfD8Q
0.14802241,0.031208856,0.28471836,0.012842611,0.49977913,0.09627023,0.04131502,0.10909295,4CkVdu4z1HA
0.0827554,0.0703896,0.48254755,0.101662,0.30667403,0.068217784,0.04234509,0.107634075,P4GukOvkeQQ
0.085523725,0.31137633,0.5622061,0.19785613,0.45498392,0.12802514,0.2406723,0.1270262,5YzzeNrHF4s
0.049447127,0.0260911,0.069182724,0.14771324,0.19505139,0.03656584,0.06612156,0.03916329,Qia2ZXEzyLw
0.12334126,0.15340158,0.747754,0.30784377,0.35976812,0.21668361,0.11729682,0.17088968,K34wxKQT9pY
0.08737885,0.028348694,0.09721952,0.102216095,0.24153769,0.041331396,0.01721518,0.055637136,tfPoEnaCBjg
0.05302519,0.22198832,0.8036277,0.18797371,0.2521851,0.2581073,0.29756662,0.27051032,1V64QSE-96Y
0.0804973,0.06675858,0.43642724,0.13710637,0.37054336,0.060799696,0.038053125,0.08984751,sQp904QUFc0
0.031445585,0.043650158,0.055376574,0.07011202,0.27973434,0.029050697,0.022213135,0.023982834,aW5IYarq0fo
0.08730786,0.024801603,0.26684335,0.1614492,0.24777152,0.041524027,0.05253629,0.064514525,0_nKiv0i7PA
0.2251022,0.31450215,0.4383796,0.36609387,0.34149238,0.54643565,0.10763696,0.2200674,pdC3OfWI5cw
0.1291288,0.2407694,0.58761144,0.18657324,0.48986924,0.22630571,0.1464265,0.19447574,gg33A9qlFh8
0.117795125,0.14455447,0.08609195,0.13660719,0.34750935,0.073853955,0.14014533,0.070951976,cLO4uRh4xDE
0.22737594,0.10858711,0.19164075,0.09879465,0.40900254,0.10962219,0.039254878,0.11937855,aKFVZu_4Lq4
0.06588834,0.088137336,0.633656,0.18061326,0.33423454,0.05980567,0.2008281,0.103998885,K134RhnDTso
0.09746312,0.054768223,0.15373634,0.033346318,0.38412607,0.053824965,0.09709594,0.067788154,vhcyvcbVBQQ
0.08214782,0.051698707,0.37296256,0.049279097,0.38028038,0.051352862,0.054534122,0.04899093,EGhERRQ3GP0
0.14725146,0.0938357,0.08838815,0.1335307,0.35505837,0.07911714,0.0813051,0.09178811,23WPx6sv7k0
0.13418794,0.05979793,0.16073048,0.108430915,0.35666543,0.055262364,0.07371333,0.08691014,H765nVNbUsA
0.098692894,0.06998982,0.09986298,0.07267373,0.34142753,0.054425936,0.08689302,0.082313,W-9L0J_9qag
0.1519036,0.045250177,0.23866576,0.075894855,0.40103614,0.062036034,0.15626417,0.07534556,O7yqw4gCnaY
0.20488572,0.10090898,0.22946037,0.076452754,0.37515938,0.113339074,0.036679696,0.19484466,eIRQzn3w710
0.06853724,0.017757064,0.279732,0.27714682,0.29648426,0.035561107,0.056931525,0.035883784,aWJo_Fe20aE
0.09755021,0.048725855,0.110293984,0.055166934,0.3421765,0.04659718,0.06132676,0.07734907,6auB47_9Kq4
0.117763184,0.06053598,0.1695814,0.17924547,0.3003477,0.08346543,0.0142302895,0.08373664,FgfT2fOv31E
0.08737885,0.028348694,0.09721952,0.102216095,0.24153769,0.041331396,0.01721518,0.055637136,KFZ4srhXP04
0.32867435,0.5860092,0.91432226,0.62818736,0.40938547,0.6401928,0.36805952,0.50902396,RarcD0Q50nU
0.07530979,0.03884641,0.07754547,0.079181015,0.30124927,0.04331086,0.07091636,0.050735712,m8HScrQndpU
0.5248293,0.46799418,0.3133125,0.37969404,0.4503324,0.11391377,0.30053464,0.5685222,sz3xierpVgg
0.22779505,0.4997533,0.471064,0.63288856,0.3994917,0.68107224,0.16551583,0.3108302,tS01JLqO2B8
0.12961513,0.09988639,0.49346957,0.083709866,0.47884366,0.13321221,0.015549194,0.1506895,u30ElgGF8yk
0.15239824,0.117712885,0.28740752,0.0819552,0.39213216,0.11053052,0.01999182,0.15168263,hGOYxik3oeE
0.34980327,0.61380637,0.88309413,0.37951627,0.45177248,0.6178423,0.43451136,0.4458076,qAClNDV9Ua4
0.07816211,0.043504287,0.29095054,0.010488683,0.42060983,0.07498964,0.00037744973,0.055558175,hUHQdQfjlSo
0.2601946,0.19518006,0.37126675,0.19435716,0.4958131,0.21576035,0.0669207,0.35469267,hAUIGLE8PEo
0.21480288,0.44630048,0.5735921,0.029016158,0.3679753,0.2068743,0.2712817,0.30609864,_vV6gwE6Z2A
