PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.06732424,0.2347571,0.09924392,0.11879343,0.13639627,0.27500725,0.26889277,0.26098788,81ywMyCA6EQ
0.17742155,0.39015913,0.06132676,0.22805579,0.24659382,0.012570856,0.36426774,0.23145233,JesqommSamo
0.11568737,0.37331256,0.09655894,0.15899085,0.4810484,0.18899854,0.3966937,0.2444553,NKc834QHJz4
0.13952608,0.37612894,0.13521013,0.16965687,0.5571407,0.010816481,0.45844322,0.29842308,9nUeswTA0c0
0.11292658,0.39857662,0.1008549,0.18000256,0.5524723,0.2615278,0.35563394,0.28298333,RIik4Asc3RE
0.07528672,0.3966313,0.16151784,0.11273476,0.5792255,0.42952102,0.39493528,0.1688412,xCPenTaDnTI
0.14013332,0.49160442,0.21539254,0.32103673,0.66572315,0.08947959,0.25934336,0.35641354,2z7YBbepstU
0.13496348,0.30757633,0.11343288,0.17076834,0.23624171,0.014346599,0.4148317,0.23365656,tNpQu2KpcHg
0.14156869,0.35881698,0.3093897,0.20284553,0.26572436,0.25222954,0.33500305,0.3026925,lJVjxQqWkLI
0.035817623,0.2347024,0.083939545,0.09900167,0.090884976,0.27500725,0.19964245,0.23250106,yK4vEyTkZ3M
0.08209058,0.41393653,0.09387396,0.1540015,0.5798882,0.016245514,0.3993433,0.14672849,zYlpMupR3-o
0.28274155,0.39665818,0.31661135,0.32053223,0.75872445,0.17579816,0.5271496,0.3722984,E4BSyvQmWG0
0.124125175,0.57530475,0.18647896,0.26265505,0.7366229,0.13858251,0.37237647,0.350092,a7T0ShyY0MM
0.1300086,0.455175,0.12309273,0.1907539,0.5415463,0.049755428,0.36028144,0.27940077,6p_QFDBqMgY
0.14845617,0.32439166,0.028439116,0.1642058,0.27809188,0.0067438735,0.46723363,0.16962163,mpHR5esk3_Y
0.075805426,0.21426572,0.0121478075,0.10535247,0.29307982,0.12663633,0.3129747,0.13320261,RFWmcTSwTZo
0.18794684,0.29124153,0.07091636,0.22336777,0.47614488,0.013039977,0.4066219,0.2234104,GOKHZ2RjOEQ
0.12946281,0.39373186,0.1539292,0.19588955,0.25757587,0.0758334,0.3840569,0.25533056,zarWgBBivF0
0.04049668,0.22658125,0.105704986,0.12831253,0.106175214,0.2548271,0.21382345,0.29259393,ejzQVFxtRgc
0.1357482,0.2602728,0.052136723,0.16789311,0.45158002,0.06310052,0.36492085,0.18344651,D88RHPZQSto
