PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.023927597,0.027307693,0.044763006,0.053381503,0.020177437,0.2926152,0.09118898,0.040676292,cLQbXPSunQ0
0.09477515,0.24057238,0.38149709,0.32335824,0.558961,0.3278321,0.3955794,0.06493601,uf2HpbDCM9I
0.024602395,0.02056442,0.03348379,0.09142783,0.023565555,0.19311316,0.031357653,0.029917335,buiNWADqakM
0.045839522,0.5631975,0.51048064,0.3590298,0.80613285,0.34486574,0.57816684,0.09253942,wmKwMwYQ-RI
0.36867732,0.08463389,0.10507255,0.37952617,0.21221177,0.29190522,0.16620636,0.040204484,HnEeQMlcsOY
0.07584628,0.018761957,0.022013986,0.08068922,0.017968308,0.34273574,0.124380715,0.038874146,zAH1g_RNpuU
0.039838526,0.093988,0.15462963,0.15095578,0.06985756,0.3543453,0.27690583,0.06296682,cvmubgc9n5o
0.1648708,0.03888682,0.073151335,0.3011879,0.03688631,0.29150936,0.11536485,0.03792166,YHQv4oHPxrY
0.06404172,0.029095186,0.12473446,0.095512204,0.04040136,0.214581,0.017492844,0.02362191,EjdRmv5B0TI
0.017229415,0.024308348,0.09864454,0.25052434,0.03474871,0.42178398,0.17242117,0.05731481,-G5Q25E9X0I
0.08397564,0.06428816,0.062181406,0.113784075,0.083505414,0.3399981,0.16482529,0.07371959,LSEZurv-68Q
0.20122908,0.039426755,0.09750469,0.3050145,0.08817982,0.282778,0.05373499,0.05453827,dAvI1qibXe4
0.27968982,0.029733263,0.043519318,0.06792467,0.04772782,0.32044682,0.13655609,0.045926485,n7yFr33VQPc
0.26631334,0.0047729393,0.006266106,0.015510116,0.010021516,0.19122855,0.055333257,0.010863124,bkiNSodcfRU
0.04213326,0.07142205,0.22866918,0.51924735,0.13595785,0.32514885,0.21274342,0.045767207,7i_nAVxDN-E
0.08913641,0.011093491,0.018261082,0.03556436,0.018713014,0.29587027,0.17173064,0.026205344,-UtoqD6Sayc
0.0030672397,0.030133137,0.06065435,0.10569592,0.035477027,0.32027724,0.0010846257,0.032846574,i2zwUEc5JcM
0.057906654,0.03170194,0.032115743,0.13436209,0.027171992,0.3281761,0.04406188,0.05392956,l426IvFpPC0
0.026110984,0.04973688,0.054274138,0.111257866,0.047962923,0.37618068,0.1668969,0.07256164,oDE8_4UTuRM
0.27542183,0.102272496,0.13857053,0.32666287,0.14500076,0.25568393,0.19716066,0.056041937,1apuXh-A7Os
0.06325331,0.035847012,0.040686466,0.08440116,0.03783793,0.34805197,0.089577995,0.0696035,r0nnQdf9y6A
0.2385379,0.15997648,0.11294383,0.23920137,0.11827624,0.3558949,0.17587385,0.14050005,pDFmi7DJ4zk
0.121527195,0.009923999,0.016796237,0.03532799,0.0132038845,0.24105246,0.1008549,0.03468921,YRhtY-sXXsw
0.1413834,0.0108456295,0.013887617,0.02782602,0.008304387,0.22215556,0.0095794145,0.023401933,vV5yCYvesdo
0.22434106,0.029798958,0.032238733,0.14419265,0.037123065,0.39157745,0.112788886,0.051472437,LirBkmg8H5E
0.1975101,0.054503318,0.08678401,0.24480161,0.1255109,0.26560634,0.13296685,0.034274038,0nE-OdSo1V0
0.035960533,0.06389177,0.2416732,0.3185505,0.1105282,0.44385427,0.15001574,0.052685257,K0WKpXSzA20
0.24671587,0.059692178,0.13600081,0.19066386,0.11348268,0.19286305,0.29558796,0.039522186,0fwddg8Ango
0.08129599,0.09795873,0.146537,0.16865782,0.06727388,0.3531174,0.1731117,0.11369783,tTbUTb-3IyE
0.009124207,0.0140202325,0.037516236,0.10571432,0.024140246,0.23215948,0.029812546,0.021786125,KassIV7qLGk
0.012712889,0.015904067,0.02720557,0.08921163,0.026165256,0.31516916,0.025863936,0.028954817,Sr4ND2lQ7ko
0.038120672,0.027853208,0.01821336,0.07590868,0.030370891,0.25020573,0.14328592,0.046508957,n813lZedKXE
0.43430632,0.13447188,0.0758172,0.25750887,0.08187145,0.2594209,0.11021292,0.13712806,2S2v45_NSYs
0.18990314,0.026106529,0.033713438,0.1002364,0.083550155,0.29786983,0.24991328,0.025936596,dg4zh5QU2So
0.122396395,0.0732909,0.12575603,0.23544346,0.06824256,0.26365516,0.08635602,0.07740678,gJftJuWlP-A
