PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.3160273,0.1256687,0.05378147,0.045920197,0.0707136,0.18433768,0.5680319,0.054196436,4XTZbYtwZJQ
0.3368766,0.2590451,0.40806034,0.13413419,0.21142164,0.2641658,0.4161129,0.10614758,66vEd4bt9SA
0.23253195,0.08689302,0.048731506,0.060519665,0.042804576,0.28042704,0.64921135,0.06539695,dowVuV05xlo
0.25536835,0.09924392,0.108713366,0.07557503,0.09625611,0.1147419,0.18747431,0.08548921,fjnu5pj1Ku4
0.27909377,0.15918289,0.063803755,0.03565457,0.050060302,0.42378408,0.28519976,0.036244262,y7YPZxqJDYQ
0.29925674,0.09763293,0.22440837,0.1250919,0.13882144,0.53867614,0.36421993,0.10220149,_m5twZSHvZ4
0.29835942,0.060527626,0.075417414,0.1106611,0.12811908,0.10090859,0.17767903,0.15619572,evqRMVW7lvc
0.3472694,0.10892494,0.15022255,0.09250269,0.14508893,0.29391173,0.33596554,0.06878158,bntGdNFAAAw
0.22750092,0.08367105,0.07030452,0.053330965,0.034598462,0.07807279,0.20785111,0.10443192,_7FWr2Nvf9I
0.32237008,0.04165838,0.15677157,0.13418181,0.13326591,0.11742255,0.56423414,0.27626777,K_qQuZkodNQ
0.26439518,0.111500904,0.1414627,0.107349895,0.15440083,0.24323453,0.40474692,0.07601785,2qrpfHIpnqk
0.28637978,0.017701091,0.037085492,0.029317116,0.031424228,0.06381057,0.17721711,0.041266404,m6U-5Hck5z0
0.29741472,0.3544517,0.2883071,0.3400954,0.440306,0.7751896,0.5680319,0.20931357,ZiBaXCyObsg
0.42899826,0.06132676,0.22059461,0.1229676,0.08627296,0.271961,0.012593528,0.16547593,UGYO28tOB7Y
0.2510858,0.03856816,0.12247089,0.09674333,0.12960894,0.12502642,0.6172727,0.11168171,qkfDYt-9W58
0.2201045,0.456592,0.61846566,0.43068156,0.45763877,0.9664865,0.712717,0.07593468,1SZnybNvfFE
0.287055,0.074912034,0.05274013,0.050226223,0.046377987,0.12660979,0.11638736,0.05926537,bh5DklX-N2Y
0.42794204,0.2712817,0.1635289,0.10465815,0.08931415,0.27691972,0.26599598,0.1020912,35Wi3Gm2OrQ
0.22036399,0.0136749605,0.088868655,0.051804494,0.03508152,0.108890235,0.16396497,0.053369854,8_fn-a5qmxY
0.3626696,0.44750816,0.038025435,0.03568222,0.047353566,0.09116765,0.035441954,0.055171,rEFzB6Lb_DI
0.37715974,0.10892494,0.1405325,0.15805687,0.13559636,0.5068611,0.6649577,0.29813954,Msyp_dmsZRI
0.17662518,0.08796701,0.077951275,0.030034026,0.057433546,0.07961065,0.19727351,0.024479562,PYZBxH4I_GA
0.29426166,0.050242316,0.11388045,0.09803863,0.11960204,0.19416662,0.19355102,0.097707644,mTqkygZ-Zsg
0.41772804,0.12888865,0.2772492,0.086387254,0.13385804,0.6286088,0.43871543,0.14764024,IKXoJ6UqsoA
0.3421241,0.15859914,0.054104943,0.033006478,0.08443764,0.16807432,0.118452296,0.038131632,cykveQsmO1M
0.34628308,0.09655894,0.48099196,0.20542884,0.38890174,0.23440976,0.71666676,0.12182983,Vuh2AeO7ziw
0.5140016,0.2885035,0.26214427,0.31113675,0.3052276,0.35194233,0.45401356,0.19949827,dayJDrRdTEY
0.46358564,0.28517663,0.14099449,0.07211661,0.10587374,0.19263062,0.07638204,0.07499186,_Zd75jXaBdA
0.33229604,0.09602194,0.12319337,0.11856905,0.11031951,0.43983927,0.5680319,0.11706306,nVZZ1cUYAmw
0.34994274,0.30788645,0.12858392,0.072027884,0.0548976,0.17524421,0.7108024,0.1439583,O1yOqtbWrdg
0.3534532,0.14597784,0.14845252,0.060748477,0.12462843,0.40754828,0.48614466,0.03773247,FZAcHk1d000
0.19507541,0.090114996,0.096968934,0.07137604,0.07655433,0.17391536,0.37728143,0.07202732,XlJXKe4fcDE
0.17938344,0.39108577,0.39645287,0.43392837,0.4380595,0.96998256,0.64165866,0.089187495,WtgNCo4HRu4
0.2926953,0.15626417,0.2382072,0.16887069,0.19883783,0.76761067,0.5532962,0.08909731,ELntKgrMAzs
